# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-05-10 16:52:32 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 422302071083801 FRESH POND IN GATE HOUSE AT CAMBRIDGE, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 422302071083801
#    DD parameter statistic   Description
#    02   00010     00003     Temperature, water, degrees Celsius (Mean)
#    03   00020     00003     Temperature, air, degrees Celsius (Mean)
#    04   00095     00003     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)
#    05   00045     00006     Precipitation, total, inches (Sum)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	02_00010_00003	02_00010_00003_cd	03_00020_00003	03_00020_00003_cd	04_00095_00003	04_00095_00003_cd	05_00045_00006	05_00045_00006_cd
USGS	422302071083801	2005-12-19	1.6	A	-2.0	A	497	A	0.00	A
USGS	422302071083801	2005-12-20	1.4	A	-2.7	A	496	A	0.00	A
USGS	422302071083801	2005-12-21	1.3	A	-3.9	A	497	A	0.00	A
USGS	422302071083801	2005-12-22	1.5	A	-2.0	A	499	A	0.00	A
USGS	422302071083801	2005-12-23	1.4	A	4.0	A	503	A	0.00	A
USGS	422302071083801	2005-12-24	1.4	A	4.9	A	508	A	0.00	A
USGS	422302071083801	2005-12-25	1.7	A	4.0	A	510	A	0.16	A
USGS	422302071083801	2005-12-26	1.4	A	4.9	A	515	A	0.76	A
USGS	422302071083801	2005-12-27	1.7	A	0.9	A	495	A	0.00	A
USGS	422302071083801	2005-12-28	1.7	A	1.9	A	495	A	0.00	A
USGS	422302071083801	2005-12-29	1.6	A	7.3	A	501	A	0.43	A
USGS	422302071083801	2005-12-30	1.8	A	3.8	A	502	A	0.00	A
USGS	422302071083801	2005-12-31	1.3	A	-2.4	A	503	A	0.03	A
USGS	422302071083801	2006-01-01	1.3	A	-3.4	A	505	A	0.02	A
USGS	422302071083801	2006-01-02	1.1	A	0.9	A	508	A	0.09	A
USGS	422302071083801	2006-01-03	1.4	A	1.3	A	511	A	0.28	A
USGS	422302071083801	2006-01-04	1.3	A	-1.7	A	511	A	0.00	A
USGS	422302071083801	2006-01-05	1.0	A	0.9	A	516	A	0.05	A
USGS	422302071083801	2006-01-06	0.9	A	1.8	A	518	A	0.00	A
USGS	422302071083801	2006-01-07	1.3	A	-2.3	A	509	A	0.00	A
USGS	422302071083801	2006-01-08	1.2	A	-1.5	A	513	A	0.02	A
USGS	422302071083801	2006-01-09	0.9	A	3.3	A	522	A:e	0.00	A
USGS	422302071083801	2006-01-10	0.9	A	3.2	A	526	A	0.00	A
USGS	422302071083801	2006-01-11	0.9	A	7.2	A	529	A	0.02	A
USGS	422302071083801	2006-01-12	1.2	A	8.6	A	531	A	0.18	A
USGS	422302071083801	2006-01-13	1.2	A	7.7	A	531	A	0.00	A
USGS	422302071083801	2006-01-14	1.6	A	13.5	A	532	A	1.18	A
USGS	422302071083801	2006-01-15	1.6	A	-5.4	A	524	A	0.25	A
USGS	422302071083801	2006-01-16	1.5	A	-6.3	A	508	A	0.00	A
USGS	422302071083801	2006-01-17	1.1	A	-0.6	A	509	A	0.00	A
USGS	422302071083801	2006-01-18	1.0	A	8.6	A	521	A	1.00	A
USGS	422302071083801	2006-01-19	0.9	A	3.8	A	522	A	0.00	A
USGS	422302071083801	2006-01-20	1.2	A	9.2	A	520	A	0.00	A
USGS	422302071083801	2006-01-21	1.5	A	9.6	A	520	A	0.00	A
USGS	422302071083801	2006-01-22	1.8	A	0.2	A	512	A	0.00	A
USGS	422302071083801	2006-01-23	1.7	A	0.7	A	514	A	0.92	A
USGS	422302071083801	2006-01-24	1.3	A	1.2	A	515	A	0.00	A
USGS	422302071083801	2006-01-25	1.4	A	2.2	A	517	A	0.27	A
USGS	422302071083801	2006-01-26	1.6	A	0.3	A	513	A	0.00	A
USGS	422302071083801	2006-01-27	1.8	A	-1.4	A	505	A	0.00	A
USGS	422302071083801	2006-01-28	1.6	A	6.2	A	507	A	0.00	A
USGS	422302071083801	2006-01-29	1.6	A	4.4	A	511	A	0.34	A
USGS	422302071083801	2006-01-30	1.6	A	1.7	A	513	A	0.00	A
USGS	422302071083801	2006-01-31	1.4	A	1.0	A	514	A	0.06	A
USGS	422302071083801	2006-02-01	1.3	A	1.9	A	515	A	0.00	A
USGS	422302071083801	2006-02-02	1.3	A	3.9	A	516	A	0.00	A
USGS	422302071083801	2006-02-03	1.4	A	9.2	A	518	A	0.58	A
USGS	422302071083801	2006-02-04	1.6	A	6.8	A	518	A	0.67	A
USGS	422302071083801	2006-02-05	2.0	A	8.4	A	516	A	0.39	A
USGS	422302071083801	2006-02-06	2.5	A	2.5	A	503	A	0.00	A
USGS	422302071083801	2006-02-07	2.4	A	0.4	A	500	A	0.00	A
USGS	422302071083801	2006-02-08	2.2	A	-2.2	A	499	A	0.00	A
USGS	422302071083801	2006-02-09	1.9	A	-3.1	A	498	A	0.00	A
USGS	422302071083801	2006-02-10	1.8	A	-4.8	A	496	A	0.00	A
USGS	422302071083801	2006-02-11	1.8	A	-4.1	A	497	A	0.00	A
USGS	422302071083801	2006-02-12	1.4	A	-5.8	A	497	A	0.06	A
USGS	422302071083801	2006-02-13	0.9	A	-3.8	A	498	A	0.00	A
USGS	422302071083801	2006-02-14	0.9	A	1.2	A	499	A	0.00	A
USGS	422302071083801	2006-02-15	1.1	A	7.0	A	501	A	0.00	A
USGS	422302071083801	2006-02-16	1.4	A	8.3	A	504	A	0.00	A
USGS	422302071083801	2006-02-17	1.3	A	7.1	A	508	A	0.13	A
USGS	422302071083801	2006-02-18	1.7	A	-4.7	A	492	A	0.00	A
USGS	422302071083801	2006-02-19	1.2	A	-7.4	A	489	A	0.00	A
USGS	422302071083801	2006-02-20	0.9	A	-3.4	A	492	A	0.00	A
USGS	422302071083801	2006-02-21	1.3	A	-1.0	A	495	A	0.00	A
USGS	422302071083801	2006-02-22	1.5	A	0.7	A	496	A	0.00	A
USGS	422302071083801	2006-02-23	1.6	A	1.2	A	499	A	0.07	A
USGS	422302071083801	2006-02-24	1.6	A	0.0	A	497	A	0.00	A
USGS	422302071083801	2006-02-25	1.4	A	-4.7	A	491	A	0.03	A
USGS	422302071083801	2006-02-26	1.3	A	-7.5	A	491	A	0.00	A
USGS	422302071083801	2006-02-27	1.0	A	-9.0	A	489	A	0.00	A
USGS	422302071083801	2006-02-28	1.0	A	-5.7	A	489	A	0.00	A
USGS	422302071083801	2006-03-01	0.9	A	-3.7	A	490	A	0.00	A
USGS	422302071083801	2006-03-02	0.8	A	-0.9	A	490	A	0.00	A
USGS	422302071083801	2006-03-03	0.8	A	-4.4	A	489	A	0.00	A
USGS	422302071083801	2006-03-04	0.9	A	-1.4	A	489	A	0.00	A
USGS	422302071083801	2006-03-05	1.0	A	1.5	A	489	A	0.00	A
USGS	422302071083801	2006-03-06	1.1	A	-0.2	A	490	A	0.00	A
USGS	422302071083801	2006-03-07	1.4	A	0.4	A	491	A	0.00	A
USGS	422302071083801	2006-03-08	1.7	A	1.6	A	492	A	0.00	A
USGS	422302071083801	2006-03-09	1.6	A	4.2	A	496	A	0.00	A
USGS	422302071083801	2006-03-10	1.6	A	12.8	A	502	A	0.00	A
USGS	422302071083801	2006-03-11	1.8	A	9.4	A	505	A	0.00	A
USGS	422302071083801	2006-03-12	1.9	A	7.9	A	505	A	0.00	A
USGS	422302071083801	2006-03-13	2.1	A	8.8	A	506	A	0.25	A
USGS	422302071083801	2006-03-14	2.4	A	8.3	A	506	A	0.20	A
USGS	422302071083801	2006-03-15	2.6	A	2.3	A	495	A	0.00	A
USGS	422302071083801	2006-03-16	3.0	A	1.8	A	487	A	0.00	A
USGS	422302071083801	2006-03-17	3.1	A	-0.4	A	486	A	0.00	A
USGS	422302071083801	2006-03-18	3.0	A	-1.7	A	484	A	0.00	A
USGS	422302071083801	2006-03-19	2.9	A	-1.5	A	485	A	0.00	A
USGS	422302071083801	2006-03-20	2.9	A	-2.4	A	483	A	0.00	A
USGS	422302071083801	2006-03-21	3.0	A	1.4	A	482	A	0.00	A
USGS	422302071083801	2006-03-22	3.1	A	2.4	A	484	A	0.00	A
USGS	422302071083801	2006-03-23	3.4	A	6.5	A	486	A	0.00	A
USGS	422302071083801	2006-03-24	3.3	A	5.8	A	491	A	0.00	A
USGS	422302071083801	2006-03-25	3.1	A	4.1	A	492	A	0.00	A
USGS	422302071083801	2006-03-26	3.6	A	6.5	A	488	A	0.00	A
USGS	422302071083801	2006-03-27	4.2	A	7.8	A	485	A	0.00	A
USGS	422302071083801	2006-03-28	4.9	A	7.2	A	485	A	0.00	A
USGS	422302071083801	2006-03-29	5.1	A	9.7	A	487	A	0.00	A
USGS	422302071083801	2006-03-30	5.4	A	11.6	A	487	A	0.00	A
USGS	422302071083801	2006-03-31	6.7	A	14.7	A	485	A	0.00	A
USGS	422302071083801	2006-04-01	6.8	A	13.8	A	493	A	0.08	A
USGS	422302071083801	2006-04-02	7.3	A	11.7	A	496	A	0.00	A
USGS	422302071083801	2006-04-03	6.8	A	8.0	A	491	A	0.00	A
USGS	422302071083801	2006-04-04	6.1	A	6.7	A	498	A	0.69	A
USGS	422302071083801	2006-04-05	6.2	A	2.0	A	490	A	0.21	A
USGS	422302071083801	2006-04-06	6.4	A	5.6	A	489	A	0.00	A
USGS	422302071083801	2006-04-07	6.4	A	9.1	A	495	A	0.13	A
USGS	422302071083801	2006-04-08	6.3	A	7.5	A	502	A	0.10	A
USGS	422302071083801	2006-04-09	6.3	A	4.7	A	496	A	0.00	A
USGS	422302071083801	2006-04-10	7.1	A	8.9	A	498	A	0.00	A
USGS	422302071083801	2006-04-11	7.6	A	10.2	A	498	A	0.00	A
USGS	422302071083801	2006-04-12	8.3	A	12.8	A	500	A	0.00	A
USGS	422302071083801	2006-04-13	8.8	A	16.1	A	507	A	0.01	A
USGS	422302071083801	2006-04-14	9.5	A	15.2	A	509	A	0.03	A
USGS	422302071083801	2006-04-15	11.0	A	17.0	A	509	A	0.00	A
USGS	422302071083801	2006-04-16	11.2	A	12.2	A	500	A	0.00	A
USGS	422302071083801	2006-04-17	10.8	A	9.6	A	498	A	0.00	A
USGS	422302071083801	2006-04-18	10.3	A	11.1	A	502	A	0.00	A
USGS	422302071083801	2006-04-19	10.9	A	15.5	A	499	A	0.00	A
USGS	422302071083801	2006-04-20	11.1	A	16.1	A	495	A	0.00	A
USGS	422302071083801	2006-04-21	11.4	A	8.9	A	495	A	0.00	A
USGS	422302071083801	2006-04-22	11.5	A	6.7	A	493	A	0.07	A
USGS	422302071083801	2006-04-23	10.5	A	7.3	A	499	A	0.64	A
USGS	422302071083801	2006-04-24	9.8	A	7.7	A	502	A	0.16	A
USGS	422302071083801	2006-04-25	10.2	A	12.5	A	501	A	0.06	A
USGS	422302071083801	2006-04-26	11.2	A	9.3	A	493	A	0.00	A
USGS	422302071083801	2006-04-27	11.1	A	10	A	492	A	0.00	A
USGS	422302071083801	2006-04-28	11.1	A	8.6	A	492	A	0.00	A
USGS	422302071083801	2006-04-29	11.7	A	8.7	A	488	A	0.00	A
USGS	422302071083801	2006-04-30	11.8	A	10.6	A	488	A	0.00	A
USGS	422302071083801	2006-05-01	12.2	A	10.3	A	488	A	0.00	A
USGS	422302071083801	2006-05-02	11.1	A	7.9	A	490	A	0.78	A
USGS	422302071083801	2006-05-03	10.7	A	9.2	A	492	A	0.26	A
USGS	422302071083801	2006-05-04	11.1	A	16.9	A	493	A	0.00	A
USGS	422302071083801	2006-05-05	13.0	A	20.2	A	493	A	0.00	A
USGS	422302071083801	2006-05-06	14.0	A	18.1	A	492	A	0.00	A
USGS	422302071083801	2006-05-07	14.2	A	12.9	A	487	A	0.00	A
USGS	422302071083801	2006-05-08	14.0	A	12.2	A	486	A	0.00	A
USGS	422302071083801	2006-05-09	13.6	A	10.0	A	484	A	0.89	A
USGS	422302071083801	2006-05-10	12.1	A	10.0	A	483	A	0.54	A
USGS	422302071083801	2006-05-11	12.0	A	10.6	A	484	A	0.05	A
USGS	422302071083801	2006-05-12	11.9	A	10.3	A	484	A	0.24	A
USGS	422302071083801	2006-05-13	11.6	A	9.4	A	482	A	3.14	A
USGS	422302071083801	2006-05-14	11.2	A	8.7	A	478	A	2.94	A
USGS	422302071083801	2006-05-15	11.0	A	9.7	A	475	A	0.33	A
USGS	422302071083801	2006-05-16	11.0	A	11.2	A	470	A	0.51	A
USGS	422302071083801	2006-05-17	11.7	A	15.7	A	464	A	0.00	A
USGS	422302071083801	2006-05-18	12.8	A	18.4	A	462	A	0.00	A
USGS	422302071083801	2006-05-19	13.3	A	14.8	A	461	A	0.68	A
USGS	422302071083801	2006-05-20	13.5	A	14.4	A	457	A	0.00	A
USGS	422302071083801	2006-05-21	13.5	A	13.0	A	454	A	0.12	A
USGS	422302071083801	2006-05-22	13.4	A	12.2	A	448	A	0.00	A
USGS	422302071083801	2006-05-23	13.4	A	11.8	A	444	A	0.00	A
USGS	422302071083801	2006-05-24	13.1	A	14.2	A	447	A	0.02	A
USGS	422302071083801	2006-05-25	14.0	A	17.8	A	451	A	0.00	A
USGS	422302071083801	2006-05-26	15.1	A	19.8	A	454	A	0.42	A
USGS	422302071083801	2006-05-27	15.9	A	20.8	A	456	A	0.00	A
USGS	422302071083801	2006-05-28	17.3	A	21.5	A	457	A	0.00	A
USGS	422302071083801	2006-05-29	19.1	A	23.2	A	462	A	0.01	A
USGS	422302071083801	2006-05-30	18.8	A	19.1	A	459	A	0.00	A
USGS	422302071083801	2006-05-31	19.4	A	19.9	A	462	A	0.00	A
USGS	422302071083801	2006-06-01	20.3	A	23.7	A	466	A	0.04	A
USGS	422302071083801	2006-06-02	19.6	A	18.9	A	462	A	0.27	A
USGS	422302071083801	2006-06-03	18.0	A	13.6	A	455	A	1.35	A
USGS	422302071083801	2006-06-04	16.7	A	13.9	A	447	A	0.28	A
USGS	422302071083801	2006-06-05	16.9	A	17.0	A	447	A	0.00	A
USGS	422302071083801	2006-06-06	17.0	A	17.5	A	448	A	0.00	A
USGS	422302071083801	2006-06-07	16.6	A	13.4	A	445	A	3.29	A
USGS	422302071083801	2006-06-08	15.8	A	13.5	A	440	A	0.14	A
USGS	422302071083801	2006-06-09	15.7	A	16.6	A	439	A	0.04	A
USGS	422302071083801	2006-06-10	15.9	A	14.8	A	438	A	0.60	A
USGS	422302071083801	2006-06-11	15.7	A	16.4	A	434	A	0.00	A
USGS	422302071083801	2006-06-12	16.7	A	20.3	A	439	A	0.00	A
USGS	422302071083801	2006-06-13	17.5	A	22.3	A	443	A	0.00	A
USGS	422302071083801	2006-06-14	18.1	A	20.3	A	446	A	0.12	A
USGS	422302071083801	2006-06-15	18.0	A	19.7	A	444	A	0.18	A
USGS	422302071083801	2006-06-16	18.7	A	22.6	A	443	A	0.00	A
USGS	422302071083801	2006-06-17	19.5	A	22.9	A	447	A	0.14	A
USGS	422302071083801	2006-06-18	20.0	A	25.5	A	451	A	0.01	A
USGS	422302071083801	2006-06-19	21.3	A	27.3	A	458	A	0.00	A
USGS	422302071083801	2006-06-20	22.0	A	24.6	A	464	A	0.03	A
USGS	422302071083801	2006-06-21	21.9	A	22.0	A	462	A	0.02	A
USGS	422302071083801	2006-06-22	21.7	A	24.4	A	461	A	0.00	A
USGS	422302071083801	2006-06-23	21.6	A	23.0	A	461	A	1.25	A
USGS	422302071083801	2006-06-24	21.2	A	20.3	A	456	A	0.57	A
USGS	422302071083801	2006-06-25	20.6	A	19.3	A	450	A	0.39	A
USGS	422302071083801	2006-06-26	20.5	A	23.6	A	449	A	0.01	A
USGS	422302071083801	2006-06-27	21.3	A	25.5	A	452	A	0.00	A
USGS	422302071083801	2006-06-28	21.4	A	23.3	A	453	A	0.07	A
USGS	422302071083801	2006-06-29	21.3	A	23.6	A	452	A	0.00	A
USGS	422302071083801	2006-06-30	21.8	A	23.3	A	454	A	0.04	A
USGS	422302071083801	2006-07-01	21.5	A	23.8	A	453	A	0.00	A
USGS	422302071083801	2006-07-02	21.6	A	26.2	A	454	A	0.00	A
USGS	422302071083801	2006-07-03	22.2	A	26.1	A	458	A	0.00	A
USGS	422302071083801	2006-07-04	22.6	A	24.5	A	464	A	0.18	A
USGS	422302071083801	2006-07-05	22.8	A	23.9	A	467	A	0.01	A
USGS	422302071083801	2006-07-06	22.6	A	21.5	A	464	A	0.16	A
USGS	422302071083801	2006-07-07	22.5	A	22.4	A	463	A	0.02	A
USGS	422302071083801	2006-07-08	22.5	A	23.4	A	464	A	0.00	A
USGS	422302071083801	2006-07-09	23.0	A	24.3	A	467	A	0.01	A
USGS	422302071083801	2006-07-10	23.0	A	24.3	A	469	A	0.00	A
USGS	422302071083801	2006-07-11	22.9	A	24.0	A	468	A	0.09	A
USGS	422302071083801	2006-07-12	22.7	A	22.9	A	468	A	0.94	A
USGS	422302071083801	2006-07-13	22.3	A	21.6	A	465	A	0.05	A
USGS	422302071083801	2006-07-14	22.8	A	25.9	A	469	A	0.00	A
USGS	422302071083801	2006-07-15	23.2	A	25.5	A	473	A	0.02	A
USGS	422302071083801	2006-07-16	23.3	A	26.4	A	474	A	0.02	A
USGS	422302071083801	2006-07-17	24.2	A	29.1	A	483	A	0.00	A
USGS	422302071083801	2006-07-18	25.0	A	29.2	A	491	A	0.00	A
USGS	422302071083801	2006-07-19	25.0	A	23.7	A	486	A	0.23	A
USGS	422302071083801	2006-07-20	24.7	A	21.1	A	479	A	0.00	A
USGS	422302071083801	2006-07-21	24.5	A	24.0	A	480	A	1.07	A
USGS	422302071083801	2006-07-22	24.2	A	23.7	A	479	A	0.08	A
USGS	422302071083801	2006-07-23	23.9	A	23.0	A	478	A	0.26	A
USGS	422302071083801	2006-07-24	24.0	A	23.3	A	480	A	0.01	A
USGS	422302071083801	2006-07-25	24.0	A	25.1	A	481	A	0.00	A
USGS	422302071083801	2006-07-26	24.1	A	25.6	A	483	A	0.00	A
USGS	422302071083801	2006-07-27	24.5	A	26.7	A	488	A	0.00	A
USGS	422302071083801	2006-07-28	24.6	A	26.9	A	492	A	0.62	A
USGS	422302071083801	2006-07-29	24.7	A	26.2	A	494	A	0.00	A
USGS	422302071083801	2006-07-30	24.4	A	24.4	A	493	A	0.00	A
USGS	422302071083801	2006-07-31	24.6	A	24.7	A	495	A	0.01	A
USGS	422302071083801	2006-08-01	24.9	A	29.1	A	500	A	0.00	A
USGS	422302071083801	2006-08-02	25.5	A	30.9	A	508	A	0.02	A
USGS	422302071083801	2006-08-03	25.8	A	27.1	A	510	A	0.00	A
USGS	422302071083801	2006-08-04	25.1	A	22.2	A	503	A	0.34	A
USGS	422302071083801	2006-08-05	25.0	A	24.4	A	504	A	0.01	A
USGS	422302071083801	2006-08-06	24.9	A	22.0	A	502	A	0.00	A
USGS	422302071083801	2006-08-07	24.7	A	24.9	A	502	A	0.04	A
USGS	422302071083801	2006-08-08	24.8	A	24.5	A	504	A	0.00	A
USGS	422302071083801	2006-08-09	24.6	A	22.5	A	503	A	0.01	A
USGS	422302071083801	2006-08-10	24.2	A	23.0	A	501	A	0.00	A
USGS	422302071083801	2006-08-11	23.9	A	20.2	A	497	A	0.00	A
USGS	422302071083801	2006-08-12	23.4	A	18.9	A	493	A	0.00	A
USGS	422302071083801	2006-08-13	22.9	A	19.1	A	492	A	0.00	A
USGS	422302071083801	2006-08-14	22.7	A	22.1	A	494	A	0.01	A
USGS	422302071083801	2006-08-15	22.5	A	23.0	A	495	A	0.61	A
USGS	422302071083801	2006-08-16	22.8	A	23.1	A	498	A	0.00	A
USGS	422302071083801	2006-08-17	22.8	A	22.4	A	499	A	0.00	A
USGS	422302071083801	2006-08-18	23.0	A	23.2	A	502	A	0.00	A
USGS	422302071083801	2006-08-19	22.8	A	23.0	A	503	A	0.00	A
