# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-03-19 14:16:03 EDT       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01103010 MYSTIC RIVER AT ARLINGTON, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01103010
#    DD parameter   Description
#    01   00065     Gage height, feet
#    02   00060     Discharge, cubic feet per second
#    03   00055     Stream velocity, feet per second
#    06   00010     Temperature, water, degrees Celsius
#    07   00011     Temperature, water, degrees Fahrenheit
#
# Data-value qualification codes included in this output: 
#     P  Provisional data subject to revision.  
# 
agency_cd	site_no	datetime	tz_cd	01_00065	01_00065_cd	02_00060	02_00060_cd	03_00055	03_00055_cd	06_00010	06_00010_cd	07_00011	07_00011_cd
USGS	01103010	2015-09-23 04:00	EDT	-0.64	P	23	P	0.11	P	20.4	P	68.7	P
USGS	01103010	2015-09-23 04:15	EDT	-0.64	P	53	P	0.26	P	20.5	P	68.7	P
USGS	01103010	2015-09-23 04:30	EDT	-0.64	P	114	P	0.55	P	20.4	P	68.6	P
USGS	01103010	2015-09-23 04:45	EDT	-0.64	P	-37	P	-0.18	P	20.4	P	68.6	P
USGS	01103010	2015-09-23 05:00	EDT	-0.64	P	-68	P	-0.33	P	20.4	P	68.6	P
USGS	01103010	2015-09-23 05:15	EDT	-0.64	P	-83	P	-0.40	P	20.4	P	68.5	P
USGS	01103010	2015-09-23 05:30	EDT	-0.64	P	-22	P	-0.11	P	20.4	P	68.5	P
USGS	01103010	2015-09-23 05:45	EDT	-0.65	P	38	P	0.19	P	20.3	P	68.4	P
USGS	01103010	2015-09-23 06:00	EDT	-0.65	P	99	P	0.48	P	20.3	P	68.3	P
USGS	01103010	2015-09-23 06:15	EDT	-0.65	P	-113	P	-0.55	P	20.2	P	68.2	P
USGS	01103010	2015-09-23 06:30	EDT	-0.64	P	-98	P	-0.48	P	20.2	P	68.2	P
USGS	01103010	2015-09-23 06:45	EDT	-0.64	P	-37	P	-0.18	P	20.2	P	68.1	P
USGS	01103010	2015-09-23 07:00	EDT	-0.64	P	23	P	0.11	P	20.2	P	68.1	P
USGS	01103010	2015-09-23 07:15	EDT	-0.64	P	69	P	0.33	P	20.2	P	68.1	P
USGS	01103010	2015-09-23 07:30	EDT	-0.64	P	-7.1	P	-0.03	P	20.1	P	68.1	P
USGS	01103010	2015-09-23 07:45	EDT	-0.64	P	-22	P	-0.11	P	20.2	P	68.1	P
USGS	01103010	2015-09-23 08:00	EDT	-0.64	P	-37	P	-0.18	P	20.2	P	68.1	P
USGS	01103010	2015-09-23 08:15	EDT	-0.64	P	-53	P	-0.26	P	20.2	P	68.1	P
USGS	01103010	2015-09-23 08:30	EDT	-0.63	P	-113	P	-0.55	P	20.1	P	68.1	P
USGS	01103010	2015-09-23 08:45	EDT	-0.63	P	-113	P	-0.55	P	20.1	P	68.1	P
USGS	01103010	2015-09-23 09:00	EDT	-0.63	P	23	P	0.11	P	20.1	P	68.1	P
USGS	01103010	2015-09-23 09:15	EDT	-0.63	P	-53	P	-0.26	P	20.1	P	68.0	P
USGS	01103010	2015-09-23 09:30	EDT	-0.63	P	23	P	0.11	P	20.1	P	68.0	P
USGS	01103010	2015-09-23 09:45	EDT	-0.63	P	23	P	0.11	P	20.1	P	68.0	P
USGS	01103010	2015-09-23 10:00	EDT	-0.63	P	38	P	0.19	P	20.1	P	67.9	P
USGS	01103010	2015-09-23 10:15	EDT	-0.62	P	8.1	P	0.04	P	20.1	P	67.9	P
USGS	01103010	2015-09-23 10:30	EDT	-0.62	P	-38	P	-0.18	P	20.0	P	67.9	P
USGS	01103010	2015-09-23 10:45	EDT	-0.62	P	38	P	0.19	P	20.0	P	67.8	P
USGS	01103010	2015-09-23 11:00	EDT	-0.62	P	-7.1	P	-0.03	P	20.0	P	67.8	P
USGS	01103010	2015-09-23 11:15	EDT	-0.62	P	-98	P	-0.48	P	20.0	P	67.8	P
USGS	01103010	2015-09-23 11:30	EDT	-0.62	P	-53	P	-0.26	P	20.1	P	67.8	P
USGS	01103010	2015-09-23 11:45	EDT	-0.61	P	69	P	0.33	P	20.2	P	67.9	P
USGS	01103010	2015-09-23 12:00	EDT	-0.61	P	39	P	0.19	P	20.2	P	67.9	P
USGS	01103010	2015-09-23 12:15	EDT	-0.61	P	-7.2	P	-0.03	P	20.2	P	68.0	P
USGS	01103010	2015-09-23 12:30	EDT	-0.61	P	-68	P	-0.33	P	20.3	P	68.0	P
USGS	01103010	2015-09-23 12:45	EDT	-0.61	P	-99	P	-0.48	P	20.3	P	68.0	P
USGS	01103010	2015-09-23 13:00	EDT	-0.61	P	-83	P	-0.40	P	20.3	P	68.1	P
USGS	01103010	2015-09-23 13:15	EDT	-0.61	P	-68	P	-0.33	P	20.4	P	68.2	P
USGS	01103010	2015-09-23 13:30	EDT	-0.61	P	54	P	0.26	P	20.6	P	68.4	P
USGS	01103010	2015-09-23 13:45	EDT	-0.60	P	23	P	0.11	P	20.5	P	68.5	P
USGS	01103010	2015-09-23 14:00	EDT	-0.60	P	23	P	0.11	P	20.6	P	68.6	P
USGS	01103010	2015-09-23 14:15	EDT	-0.60	P	54	P	0.26	P	20.6	P	68.7	P
USGS	01103010	2015-09-23 14:30	EDT	-0.60	P	84	P	0.41	P	20.8	P	68.8	P
USGS	01103010	2015-09-23 14:45	EDT	-0.60	P	-7.2	P	-0.03	P	21.0	P	68.8	P
USGS	01103010	2015-09-23 15:00	EDT	-0.60	P	-7.2	P	-0.03	P	21.2	P	68.8	P
USGS	01103010	2015-09-23 15:15	EDT	-0.60	P	100	P	0.48	P	21.2	P	68.9	P
USGS	01103010	2015-09-23 15:30	EDT	-0.60	P	69	P	0.33	P	21.3	P	68.9	P
USGS	01103010	2015-09-23 15:45	EDT	-0.60	P	161	P	0.78	P	21.1	P	69.1	P
USGS	01103010	2015-09-23 16:00	EDT	-0.60	P	23	P	0.11	P	21.3	P	69.0	P
USGS	01103010	2015-09-23 16:15	EDT	-0.60	P	-68	P	-0.33	P	21.3	P	69.0	P
USGS	01103010	2015-09-23 16:30	EDT	-0.60	P	23	P	0.11	P	21.4	P	69.0	P
USGS	01103010	2015-09-23 16:45	EDT	-0.60	P	23	P	0.11	P	21.4	P	69.1	P
USGS	01103010	2015-09-23 17:00	EDT	-0.60	P	-68	P	-0.33	P	21.3	P	69.1	P
USGS	01103010	2015-09-23 17:15	EDT	-0.60	P	-38	P	-0.18	P	21.4	P	69.0	P
USGS	01103010	2015-09-23 17:30	EDT	-0.61	P	-22	P	-0.11	P	21.3	P	69.0	P
USGS	01103010	2015-09-23 17:45	EDT	-0.60	P	-38	P	-0.18	P	21.2	P	69.0	P
USGS	01103010	2015-09-23 18:00	EDT	-0.60	P	-114	P	-0.55	P	21.3	P	69.0	P
USGS	01103010	2015-09-23 18:15	EDT	-0.60	P	-38	P	-0.18	P	21.3	P	69.2	P
USGS	01103010	2015-09-23 18:30	EDT	-0.60	P	115	P	0.55	P	21.3	P	69.1	P
USGS	01103010	2015-09-23 18:45	EDT	-0.60	P	8.1	P	0.04	P	21.2	P	69.1	P
USGS	01103010	2015-09-23 19:00	EDT	-0.60	P	-114	P	-0.55	P	21.2	P	69.1	P
USGS	01103010	2015-09-23 19:15	EDT	-0.60	P	146	P	0.70	P	21.3	P	69.1	P
USGS	01103010	2015-09-23 19:30	EDT	-0.60	P	-7.2	P	-0.03	P	21.2	P	69.2	P
USGS	01103010	2015-09-23 19:45	EDT	-0.59	P	8.1	P	0.04	P	21.1	P	69.1	P
USGS	01103010	2015-09-23 20:00	EDT	-0.59	P	-38	P	-0.18	P	21.0	P	69.0	P
USGS	01103010	2015-09-23 20:15	EDT	-0.59	P	-38	P	-0.18	P	20.9	P	69.0	P
USGS	01103010	2015-09-23 20:30	EDT	-0.58	P	8.1	P	0.04	P	20.9	P	69.0	P
USGS	01103010	2015-09-23 20:45	EDT	-0.58	P	131	P	0.63	P	20.9	P	69.0	P
USGS	01103010	2015-09-23 21:00	EDT	-0.58	P	-69	P	-0.33	P	20.8	P	69.0	P
USGS	01103010	2015-09-23 21:15	EDT	-0.58	P	-53	P	-0.26	P	20.8	P	69.0	P
USGS	01103010	2015-09-23 21:30	EDT	-0.57	P	-38	P	-0.18	P	20.8	P	69.0	P
USGS	01103010	2015-09-23 21:45	EDT	-0.57	P	70	P	0.33	P	20.8	P	69.0	P
USGS	01103010	2015-09-23 22:00	EDT	-0.57	P	39	P	0.19	P	20.8	P	69.0	P
USGS	01103010	2015-09-23 22:15	EDT	-0.57	P	70	P	0.33	P	20.7	P	69.0	P
USGS	01103010	2015-09-23 22:30	EDT	-0.57	P	-7.2	P	-0.03	P	20.7	P	69.0	P
USGS	01103010	2015-09-23 22:45	EDT	-0.57	P	-23	P	-0.11	P	20.7	P	69.0	P
USGS	01103010	2015-09-23 23:00	EDT	-0.56	P	39	P	0.19	P	20.6	P	68.9	P
USGS	01103010	2015-09-23 23:15	EDT	-0.56	P	-23	P	-0.11	P	20.6	P	68.9	P
USGS	01103010	2015-09-23 23:30	EDT	-0.56	P	-23	P	-0.11	P	20.6	P	68.8	P
USGS	01103010	2015-09-23 23:45	EDT	-0.56	P	-115	P	-0.55	P	20.6	P	68.8	P
USGS	01103010	2015-09-24 00:00	EDT	-0.56	P	24	P	0.11	P	20.5	P	68.8	P
USGS	01103010	2015-09-24 00:15	EDT	-0.56	P	24	P	0.11	P	20.5	P	68.7	P
USGS	01103010	2015-09-24 00:30	EDT	-0.56	P	-53	P	-0.26	P	20.4	P	68.6	P
USGS	01103010	2015-09-24 00:45	EDT	-0.56	P	8.2	P	0.04	P	20.4	P	68.6	P
USGS	01103010	2015-09-24 01:00	EDT	-0.56	P	24	P	0.11	P	20.4	P	68.5	P
USGS	01103010	2015-09-24 01:15	EDT	-0.56	P	-100	P	-0.48	P	20.4	P	68.5	P
USGS	01103010	2015-09-24 01:30	EDT	-0.56	P	-38	P	-0.18	P	20.3	P	68.4	P
USGS	01103010	2015-09-24 01:45	EDT	-0.56	P	-69	P	-0.33	P	20.3	P	68.3	P
USGS	01103010	2015-09-24 02:00	EDT	-0.56	P	-38	P	-0.18	P	20.2	P	68.2	P
USGS	01103010	2015-09-24 02:15	EDT	-0.56	P	-23	P	-0.11	P	20.2	P	68.2	P
USGS	01103010	2015-09-24 02:30	EDT	-0.56	P	-100	P	-0.48	P	20.2	P	68.2	P
USGS	01103010	2015-09-24 02:45	EDT	-0.56	P	-7.2	P	-0.03	P	20.2	P	68.1	P
USGS	01103010	2015-09-24 03:00	EDT	-0.56	P	24	P	0.11	P	20.1	P	68.1	P
USGS	01103010	2015-09-24 03:15	EDT	-0.56	P	-7.2	P	-0.03	P	20.1	P	68.0	P
USGS	01103010	2015-09-24 03:30	EDT	-0.56	P	-7.2	P	-0.03	P	20.1	P	68.0	P
USGS	01103010	2015-09-24 03:45	EDT	-0.56	P	24	P	0.11	P	20.1	P	68.0	P
USGS	01103010	2015-09-24 04:00	EDT	-0.56	P	24	P	0.11	P	20.0	P	67.9	P
USGS	01103010	2015-09-24 04:15	EDT	-0.56	P	39	P	0.19	P	20.0	P	67.8	P
USGS	01103010	2015-09-24 04:30	EDT	-0.56	P	-131	P	-0.62	P	19.9	P	67.8	P
USGS	01103010	2015-09-24 04:45	EDT	-0.56	P	-84	P	-0.40	P	19.9	P	67.8	P
USGS	01103010	2015-09-24 05:00	EDT	-0.56	P	54	P	0.26	P	19.9	P	67.8	P
USGS	01103010	2015-09-24 05:15	EDT	-0.56	P	-100	P	-0.48	P	19.9	P	67.7	P
USGS	01103010	2015-09-24 05:30	EDT	-0.56	P	-38	P	-0.18	P	19.9	P	67.7	P
USGS	01103010	2015-09-24 05:45	EDT	-0.56	P	-115	P	-0.55	P	19.9	P	67.6	P
USGS	01103010	2015-09-24 06:00	EDT	-0.57	P	-23	P	-0.11	P	19.9	P	67.5	P
USGS	01103010	2015-09-24 06:15	EDT	-0.56	P	24	P	0.11	P	19.8	P	67.5	P
USGS	01103010	2015-09-24 06:30	EDT	-0.56	P	-115	P	-0.55	P	19.8	P	67.5	P
USGS	01103010	2015-09-24 06:45	EDT	-0.56	P	-131	P	-0.62	P	19.8	P	67.4	P
USGS	01103010	2015-09-24 07:00	EDT	-0.56	P	8.2	P	0.04	P	19.8	P	67.4	P
USGS	01103010	2015-09-24 07:15	EDT	-0.56	P	-100	P	-0.48	P	19.8	P	67.3	P
USGS	01103010	2015-09-24 07:30	EDT	-0.56	P	8.2	P	0.04	P	19.8	P	67.3	P
USGS	01103010	2015-09-24 07:45	EDT	-0.56	P	-69	P	-0.33	P	19.8	P	67.3	P
USGS	01103010	2015-09-24 08:00	EDT	-0.56	P	39	P	0.19	P	19.8	P	67.3	P
USGS	01103010	2015-09-24 08:15	EDT	-0.56	P	-38	P	-0.18	P	19.8	P	67.2	P
USGS	01103010	2015-09-24 08:30	EDT	-0.56	P	-115	P	-0.55	P	19.7	P	67.3	P
USGS	01103010	2015-09-24 08:45	EDT	-0.56	P	-84	P	-0.40	P	19.7	P	67.2	P
USGS	01103010	2015-09-24 09:00	EDT	-0.55	P	70	P	0.33	P	19.8	P	67.2	P
USGS	01103010	2015-09-24 09:15	EDT	-0.55	P	-7.3	P	-0.03	P	19.8	P	67.3	P
USGS	01103010	2015-09-24 09:30	EDT	-0.55	P	39	P	0.19	P	19.8	P	67.3	P
USGS	01103010	2015-09-24 09:45	EDT	-0.55	P	39	P	0.19	P	19.8	P	67.3	P
USGS	01103010	2015-09-24 10:00	EDT	-0.55	P	-38	P	-0.18	P	19.8	P	67.3	P
USGS	01103010	2015-09-24 10:15	EDT	-0.54	P	-7.3	P	-0.03	P	19.7	P	67.2	P
USGS	01103010	2015-09-24 10:30	EDT	-0.54	P	101	P	0.48	P	19.7	P	67.2	P
USGS	01103010	2015-09-24 10:45	EDT	-0.54	P	-38	P	-0.18	P	19.8	P	67.3	P
USGS	01103010	2015-09-24 11:00	EDT	-0.54	P	-54	P	-0.26	P	19.8	P	67.3	P
USGS	01103010	2015-09-24 11:15	EDT	-0.54	P	-54	P	-0.26	P	19.8	P	67.3	P
USGS	01103010	2015-09-24 11:30	EDT	-0.53	P	132	P	0.63	P	19.8	P	67.3	P
USGS	01103010	2015-09-24 11:45	EDT	-0.53	P	-38	P	-0.18	P	19.9	P	67.4	P
USGS	01103010	2015-09-24 12:00	EDT	-0.53	P	-69	P	-0.33	P	19.9	P	67.5	P
USGS	01103010	2015-09-24 12:15	EDT	-0.53	P	-23	P	-0.11	P	20.0	P	67.5	P
USGS	01103010	2015-09-24 12:30	EDT	-0.52	P	-23	P	-0.11	P	20.1	P	67.6	P
USGS	01103010	2015-09-24 12:45	EDT	-0.52	P	-23	P	-0.11	P	20.1	P	67.6	P
USGS	01103010	2015-09-24 13:00	EDT	-0.52	P	8.2	P	0.04	P	20.1	P	67.7	P
USGS	01103010	2015-09-24 13:15	EDT	-0.53	P	24	P	0.11	P	20.1	P	67.8	P
USGS	01103010	2015-09-24 13:30	EDT	-0.53	P	-38	P	-0.18	P	20.2	P	67.8	P
USGS	01103010	2015-09-24 13:45	EDT	-0.52	P	-69	P	-0.33	P	20.2	P	68.0	P
USGS	01103010	2015-09-24 14:00	EDT	-0.52	P	24	P	0.11	P	20.4	P	68.0	P
USGS	01103010	2015-09-24 14:15	EDT	-0.53	P	-38	P	-0.18	P	20.2	P	68.1	P
USGS	01103010	2015-09-24 14:30	EDT	-0.52	P	-23	P	-0.11	P	20.3	P	68.1	P
USGS	01103010	2015-09-24 14:45	EDT	-0.52	P	-38	P	-0.18	P	20.3	P	68.2	P
USGS	01103010	2015-09-24 15:00	EDT	-0.52	P	-23	P	-0.11	P	20.3	P	68.1	P
USGS	01103010	2015-09-24 15:15	EDT	-0.52	P	-85	P	-0.40	P	20.4	P	68.0	P
USGS	01103010	2015-09-24 15:30	EDT	-0.53	P	-38	P	-0.18	P	20.4	P	68.1	P
USGS	01103010	2015-09-24 15:45	EDT	-0.52	P	-69	P	-0.33	P	20.4	P	68.2	P
USGS	01103010	2015-09-24 16:00	EDT	-0.52	P	-101	P	-0.48	P	20.6	P	68.3	P
USGS	01103010	2015-09-24 16:15	EDT	-0.52	P	117	P	0.55	P	20.4	P	68.2	P
USGS	01103010	2015-09-24 16:30	EDT	-0.52	P	-38	P	-0.18	P	20.6	P	68.2	P
USGS	01103010	2015-09-24 16:45	EDT	-0.52	P	-23	P	-0.11	P	20.8	P	68.2	P
USGS	01103010	2015-09-24 17:00	EDT	-0.53	P	-7.3	P	-0.03	P	20.5	P	68.3	P
USGS	01103010	2015-09-24 17:15	EDT	-0.52	P	-101	P	-0.48	P	20.6	P	68.3	P
USGS	01103010	2015-09-24 17:30	EDT	-0.52	P	24	P	0.11	P	20.7	P	68.3	P
USGS	01103010	2015-09-24 17:45	EDT	-0.52	P	8.2	P	0.04	P	20.8	P	68.3	P
USGS	01103010	2015-09-24 18:00	EDT	-0.52	P	39	P	0.19	P	20.8	P	68.3	P
USGS	01103010	2015-09-24 18:15	EDT	-0.52	P	-7.3	P	-0.03	P	20.9	P	68.4	P
USGS	01103010	2015-09-24 18:30	EDT	-0.52	P	-38	P	-0.18	P	20.8	P	68.4	P
USGS	01103010	2015-09-24 18:45	EDT	-0.52	P	-23	P	-0.11	P	20.9	P	68.5	P
USGS	01103010	2015-09-24 19:00	EDT	-0.52	P	-23	P	-0.11	P	20.9	P	68.5	P
USGS	01103010	2015-09-24 19:15	EDT	-0.52	P	-116	P	-0.55	P	20.9	P	68.5	P
USGS	01103010	2015-09-24 19:30	EDT	-0.52	P	101	P	0.48	P	20.8	P	68.5	P
USGS	01103010	2015-09-24 19:45	EDT	-0.52	P	-38	P	-0.18	P	20.9	P	68.5	P
USGS	01103010	2015-09-24 20:00	EDT	-0.52	P	55	P	0.26	P	20.9	P	68.5	P
USGS	01103010	2015-09-24 20:15	EDT	-0.52	P	-23	P	-0.11	P	20.9	P	68.4	P
USGS	01103010	2015-09-24 20:30	EDT	-0.52	P	8.2	P	0.04	P	20.8	P	68.4	P
USGS	01103010	2015-09-24 20:45	EDT	-0.52	P	-163	P	-0.77	P	20.8	P	68.4	P
USGS	01103010	2015-09-24 21:00	EDT	-0.52	P	-69	P	-0.33	P	20.8	P	68.4	P
USGS	01103010	2015-09-24 21:15	EDT	-0.52	P	-7.3	P	-0.03	P	20.7	P	68.4	P
USGS	01103010	2015-09-24 21:30	EDT	-0.52	P	-7.3	P	-0.03	P	20.7	P	68.4	P
USGS	01103010	2015-09-24 21:45	EDT	-0.52	P	-147	P	-0.70	P	20.6	P	68.4	P
USGS	01103010	2015-09-24 22:00	EDT	-0.52	P	-69	P	-0.33	P	20.6	P	68.4	P
USGS	01103010	2015-09-24 22:15	EDT	-0.52	P	70	P	0.33	P	20.6	P	68.4	P
USGS	01103010	2015-09-24 22:30	EDT	-0.51	P	133	P	0.63	P	20.6	P	68.4	P
USGS	01103010	2015-09-24 22:45	EDT	-0.51	P	-38	P	-0.18	P	20.6	P	68.5	P
USGS	01103010	2015-09-24 23:00	EDT	-0.51	P	-101	P	-0.48	P	20.5	P	68.5	P
USGS	01103010	2015-09-24 23:15	EDT	-0.51	P	-70	P	-0.33	P	20.5	P	68.5	P
USGS	01103010	2015-09-24 23:30	EDT	-0.51	P	55	P	0.26	P	20.5	P	68.4	P
USGS	01103010	2015-09-24 23:45	EDT	-0.51	P	86	P	0.41	P	20.5	P	68.4	P
USGS	01103010	2015-09-25 00:00	EDT	-0.51	P	86	P	0.41	P	20.4	P	68.4	P
USGS	01103010	2015-09-25 00:15	EDT	-0.50	P	-7.3	P	-0.03	P	20.4	P	68.4	P
USGS	01103010	2015-09-25 00:30	EDT	-0.50	P	55	P	0.26	P	20.4	P	68.4	P
USGS	01103010	2015-09-25 00:45	EDT	-0.50	P	8.3	P	0.04	P	20.3	P	68.4	P
USGS	01103010	2015-09-25 01:00	EDT	-0.50	P	-148	P	-0.70	P	20.3	P	68.3	P
USGS	01103010	2015-09-25 01:15	EDT	-0.50	P	55	P	0.26	P	20.2	P	68.3	P
USGS	01103010	2015-09-25 01:30	EDT	-0.50	P	102	P	0.48	P	20.2	P	68.3	P
USGS	01103010	2015-09-25 01:45	EDT	-0.50	P	-101	P	-0.48	P	20.2	P	68.2	P
USGS	01103010	2015-09-25 02:00	EDT	-0.50	P	8.3	P	0.04	P	20.2	P	68.1	P
USGS	01103010	2015-09-25 02:15	EDT	-0.50	P	-7.3	P	-0.03	P	20.1	P	68.1	P
USGS	01103010	2015-09-25 02:30	EDT	-0.50	P	55	P	0.26	P	20.1	P	68.0	P
USGS	01103010	2015-09-25 02:45	EDT	-0.50	P	24	P	0.11	P	20.1	P	68.0	P
USGS	01103010	2015-09-25 03:00	EDT	-0.50	P	55	P	0.26	P	20.1	P	68.0	P
USGS	01103010	2015-09-25 03:15	EDT	-0.50	P	-23	P	-0.11	P	20.1	P	67.9	P
USGS	01103010	2015-09-25 03:30	EDT	-0.50	P	-23	P	-0.11	P	20.1	P	67.9	P
USGS	01103010	2015-09-25 03:45	EDT	-0.50	P	-23	P	-0.11	P	20.0	P	67.8	P
USGS	01103010	2015-09-25 04:00	EDT	-0.50	P	-54	P	-0.26	P	19.9	P	67.7	P
USGS	01103010	2015-09-25 04:15	EDT	-0.50	P	24	P	0.11	P	19.9	P	67.6	P
USGS	01103010	2015-09-25 04:30	EDT	-0.50	P	8.3	P	0.04	P	19.9	P	67.6	P
USGS	01103010	2015-09-25 04:45	EDT	-0.50	P	-101	P	-0.48	P	19.8	P	67.5	P
USGS	01103010	2015-09-25 05:00	EDT	-0.50	P	39	P	0.19	P	19.8	P	67.4	P
USGS	01103010	2015-09-25 05:15	EDT	-0.50	P	102	P	0.48	P	19.8	P	67.3	P
USGS	01103010	2015-09-25 05:30	EDT	-0.51	P	24	P	0.11	P	19.7	P	67.3	P
USGS	01103010	2015-09-25 05:45	EDT	-0.51	P	24	P	0.11	P	19.7	P	67.2	P
USGS	01103010	2015-09-25 06:00	EDT	-0.51	P	-38	P	-0.18	P	19.6	P	67.2	P
USGS	01103010	2015-09-25 06:15	EDT	-0.51	P	-38	P	-0.18	P	19.6	P	67.2	P
USGS	01103010	2015-09-25 06:30	EDT	-0.51	P	102	P	0.48	P	19.6	P	67.1	P
USGS	01103010	2015-09-25 06:45	EDT	-0.51	P	-7.3	P	-0.03	P	19.6	P	67.1	P
USGS	01103010	2015-09-25 07:00	EDT	-0.51	P	-54	P	-0.26	P	19.6	P	67.0	P
USGS	01103010	2015-09-25 07:15	EDT	-0.51	P	-132	P	-0.62	P	19.6	P	67.0	P
USGS	01103010	2015-09-25 07:30	EDT	-0.51	P	-54	P	-0.26	P	19.5	P	66.9	P
USGS	01103010	2015-09-25 07:45	EDT	-0.51	P	-7.3	P	-0.03	P	19.5	P	66.8	P
USGS	01103010	2015-09-25 08:00	EDT	-0.51	P	-38	P	-0.18	P	19.5	P	66.8	P
USGS	01103010	2015-09-25 08:15	EDT	-0.51	P	8.3	P	0.04	P	19.4	P	66.8	P
USGS	01103010	2015-09-25 08:30	EDT	-0.51	P	-101	P	-0.48	P	19.4	P	66.8	P
USGS	01103010	2015-09-25 08:45	EDT	-0.51	P	-70	P	-0.33	P	19.4	P	66.8	P
USGS	01103010	2015-09-25 09:00	EDT	-0.51	P	-7.3	P	-0.03	P	19.4	P	66.8	P
USGS	01103010	2015-09-25 09:15	EDT	-0.50	P	-70	P	-0.33	P	19.4	P	66.8	P
USGS	01103010	2015-09-25 09:30	EDT	-0.50	P	-7.3	P	-0.03	P	19.4	P	66.8	P
USGS	01103010	2015-09-25 09:45	EDT	-0.50	P	-54	P	-0.26	P	19.4	P	66.9	P
USGS	01103010	2015-09-25 10:00	EDT	-0.50	P	-70	P	-0.33	P	19.4	P	66.8	P
USGS	01103010	2015-09-25 10:15	EDT	-0.49	P	-70	P	-0.33	P	19.4	P	66.8	P
USGS	01103010	2015-09-25 10:30	EDT	-0.49	P	-54	P	-0.26	P	19.6	P	66.9	P
USGS	01103010	2015-09-25 10:45	EDT	-0.49	P	8.3	P	0.04	P	19.6	P	67.0	P
USGS	01103010	2015-09-25 11:00	EDT	-0.48	P	-86	P	-0.40	P	19.6	P	67.0	P
USGS	01103010	2015-09-25 11:15	EDT	-0.48	P	-70	P	-0.33	P	19.6	P	67.1	P
