# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-03-19 14:24:11 EDT       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01104430 HOBBS BK BELOW CAMBRIDGE RES NR KENDALL GREEN, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01104430
#    DD parameter   Description
#    01   00065     Gage height, feet
#    02   00060     Discharge, cubic feet per second
#    03   00010     Temperature, water, degrees Celsius
#    04   00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius
#    11   00062     Elevation of reservoir water surface above datum, feet, GATE HOUSE
#    12   72022     Reservoir storage, million gallons, GATE HOUSE
#    13   00020     Temperature, air, degrees Celsius
#    14   00045     Precipitation, total, inches
#    30   99404     Chloride, water, filtered, estimated by regression equation, milligrams per liter
#    31   99398     Sodium, water, filtered, estimated by regression equation, milligrams per liter
#    32   00010     Temperature, water, degrees Celsius, GATE HOUSE
#    33   00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius, GATE HOUSE
#    34   63680     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU), GATE HOUSE
#    35   62361     Chlorophyll, total, water, fluorometric, 650-700 nanometers, in situ sensor, micrograms per liter, GATE HOUSE
#    36   00300     Dissolved oxygen, water, unfiltered, milligrams per liter, GATE HOUSE
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	tz_cd	01_00065	01_00065_cd	02_00060	02_00060_cd	03_00010	03_00010_cd	04_00095	04_00095_cd	11_00062	11_00062_cd	12_72022	12_72022_cd	13_00020	13_00020_cd	14_00045	14_00045_cd	30_99404	30_99404_cd	31_99398	31_99398_cd	32_00010	32_00010_cd	33_00095	33_00095_cd	34_63680	34_63680_cd	35_62361	35_62361_cd	36_00300	36_00300_cd
USGS	01104430	2007-10-01 04:15	EDT	1.29	A	19	A	20.4	A	640	A	173.35	A	1193	A	8.8	A	0.00	A														
USGS	01104430	2007-10-01 04:30	EDT	1.29	A	19	A	20.4	A	640	A	173.35	A	1193	A	8.9	A	0.00	A														
USGS	01104430	2007-10-01 04:45	EDT	1.29	A	19	A	20.4	A	640	A	173.35	A	1193	A	8.7	A	0.00	A														
USGS	01104430	2007-10-01 05:00	EDT	1.29	A	19	A	20.4	A	640	A	173.35	A	1193	A	8.5	A	0.00	A														
USGS	01104430	2007-10-01 05:15	EDT	1.29	A	19	A	20.4	A	640	A	173.34	A	1191	A	8.4	A	0.00	A														
USGS	01104430	2007-10-01 05:30	EDT	1.29	A	19	A	20.3	A	640	A	173.35	A	1193	A	8.5	A	0.00	A														
USGS	01104430	2007-10-01 05:45	EDT	1.29	A	19	A	20.3	A	640	A	173.34	A	1191	A	8.6	A	0.00	A														
USGS	01104430	2007-10-01 06:00	EDT	1.29	A	19	A	20.3	A	640	A	173.34	A	1191	A	8.5	A	0.00	A														
USGS	01104430	2007-10-01 06:15	EDT	1.29	A	19	A	20.3	A	640	A	173.34	A	1191	A	8.2	A	0.00	A														
USGS	01104430	2007-10-01 06:30	EDT	1.29	A	19	A	20.2	A	640	A	173.34	A	1191	A	8.1	A	0.00	A														
USGS	01104430	2007-10-01 06:45	EDT	1.29	A	19	A	20.2	A	640	A	173.34	A	1191	A	8.2	A	0.00	A														
USGS	01104430	2007-10-01 07:00	EDT	1.29	A	19	A	20.2	A	639	A	173.34	A	1191	A	8.2	A	0.00	A														
USGS	01104430	2007-10-01 07:15	EDT	1.29	A	19	A	20.3	A	638	A	173.34	A	1191	A	8.2	A	0.00	A														
USGS	01104430	2007-10-01 07:30	EDT	1.29	A	19	A	20.2	A	639	A	173.34	A	1191	A	8.3	A	0.00	A														
USGS	01104430	2007-10-01 07:45	EDT	1.29	A	19	A	20.1	A	640	A	173.34	A	1191	A	8.6	A	0.00	A														
USGS	01104430	2007-10-01 08:00	EDT	1.29	A	19	A	20.2	A	639	A	173.34	A	1191	A	9.0	A	0.00	A														
USGS	01104430	2007-10-01 08:15	EDT	1.29	A	19	A	20.2	A	639	A	173.34	A	1191	A	9.6	A	0.00	A														
USGS	01104430	2007-10-01 08:30	EDT	1.29	A	19	A	20.3	A	638	A	173.34	A	1191	A	10.1	A	0.00	A														
USGS	01104430	2007-10-01 08:45	EDT	1.29	A	19	A	20.2	A	639	A	173.34	A	1191	A	10.8	A	0.00	A														
USGS	01104430	2007-10-01 09:00	EDT	1.29	A	19	A	20.3	A	639	A	173.34	A	1191	A	11.9	A	0.00	A														
USGS	01104430	2007-10-01 09:15	EDT	1.29	A	19	A	20.3	A	638	A	173.34	A	1191	A	13.0	A	0.00	A														
USGS	01104430	2007-10-01 09:30	EDT	1.29	A	19	A	20.1	A	640	A	173.34	A	1191	A	13.9	A	0.00	A														
USGS	01104430	2007-10-01 09:45	EDT	1.29	A	19	A	20.2	A	641	A	173.34	A	1191	A	15.1	A	0.00	A														
USGS	01104430	2007-10-01 10:00	EDT	1.29	A	19	A	20.2	A	640	A	173.33	A	1190	A	15.9	A	0.00	A														
USGS	01104430	2007-10-01 10:15	EDT	1.29	A	19	A	20.3	A	639	A	173.33	A	1190	A	16.1	A	0.00	A														
USGS	01104430	2007-10-01 10:30	EDT	1.29	A	19	A	20.4	A	638	A	173.33	A	1190	A	16.3	A	0.00	A														
USGS	01104430	2007-10-01 10:45	EDT	1.29	A	19	A	20.4	A	639	A	173.33	A	1190	A	16.5	A	0.00	A														
USGS	01104430	2007-10-01 11:00	EDT	1.29	A	19	A	20.3	A	640	A	173.33	A	1190	A	17.4	A	0.00	A														
USGS	01104430	2007-10-01 11:15	EDT	1.29	A	19	A	20.4	A	639	A	173.33	A	1190	A	18.4	A	0.00	A														
USGS	01104430	2007-10-01 11:30	EDT	1.29	A	19	A	20.3	A	640	A	173.33	A	1190	A	18.3	A	0.00	A														
USGS	01104430	2007-10-01 11:45	EDT	1.29	A	19	A	20.3	A	640	A	173.33	A	1190	A	18.3	A	0.00	A														
USGS	01104430	2007-10-01 12:00	EDT	1.29	A	19	A	20.3	A	641	A	173.32	A	1188	A	17.9	A	0.00	A														
USGS	01104430	2007-10-01 12:15	EDT	1.29	A	19	A	20.3	A	640	A	173.32	A	1188	A	18.1	A	0.00	A														
USGS	01104430	2007-10-01 12:30	EDT	1.29	A	19	A	20.4	A	639	A	173.32	A	1188	A	18.5	A	0.00	A														
USGS	01104430	2007-10-01 12:45	EDT	1.29	A	19	A	20.3	A	641	A	173.32	A	1188	A	18.3	A	0.00	A														
USGS	01104430	2007-10-01 13:00	EDT	1.29	A	19	A	20.4	A	635	A	173.32	A	1188	A	18.4	A	0.00	A														
USGS	01104430	2007-10-01 13:15	EDT	1.29	A	19	A	20.3	A	640	A	173.32	A	1188	A	18.5	A	0.00	A														
USGS	01104430	2007-10-01 13:30	EDT	1.29	A	19	A	20.4	A	639	A	173.32	A	1188	A	18.8	A	0.00	A														
USGS	01104430	2007-10-01 13:45	EDT	1.29	A	19	A	20.2	A	640	A	173.32	A	1188	A	18.9	A	0.00	A														
USGS	01104430	2007-10-01 14:00	EDT	1.29	A	19	A	20.0	A	641	A	173.32	A	1188	A	19.0	A	0.00	A														
USGS	01104430	2007-10-01 14:15	EDT	1.29	A	19	A	20.1	A	640	A	173.32	A	1188	A	19.2	A	0.00	A														
USGS	01104430	2007-10-01 14:30	EDT	1.29	A	19	A	20.1	A	639	A	173.32	A	1188	A	18.9	A	0.00	A														
USGS	01104430	2007-10-01 14:45	EDT	1.29	A	19	A	20.2	A	639	A	173.31	A	1187	A	19.0	A	0.00	A														
USGS	01104430	2007-10-01 15:00	EDT	1.29	A	19	A	20.1	A	641	A	173.31	A	1187	A	18.9	A	0.00	A														
USGS	01104430	2007-10-01 15:15	EDT	1.29	A	19	A	20.2	A	640	A	173.31	A	1187	A	18.9	A	0.00	A														
USGS	01104430	2007-10-01 15:30	EDT	1.29	A	19	A	20.1	A	641	A	173.31	A	1187	A	18.9	A	0.00	A														
USGS	01104430	2007-10-01 15:45	EDT	1.29	A	19	A	20.2	A	640	A	173.31	A	1187	A	19.1	A	0.00	A														
USGS	01104430	2007-10-01 16:00	EDT	1.29	A	19	A	20.2	A	640	A	173.31	A	1187	A	18.8	A	0.00	A														
USGS	01104430	2007-10-01 16:15	EDT	1.29	A	19	A	20.2	A	640	A	173.30	A	1185	A	18.5	A	0.00	A														
USGS	01104430	2007-10-01 16:30	EDT	1.29	A	19	A	20.3	A	639	A	173.30	A	1185	A	18.0	A	0.00	A														
USGS	01104430	2007-10-01 16:45	EDT	1.29	A	19	A	20.2	A	640	A	173.30	A	1185	A	18.1	A	0.00	A														
USGS	01104430	2007-10-01 17:00	EDT	1.29	A	19	A	20.1	A	640	A	173.30	A	1185	A	17.9	A	0.00	A														
USGS	01104430	2007-10-01 17:15	EDT	1.29	A	19	A	20.2	A	640	A	173.30	A	1185	A	17.6	A	0.00	A														
USGS	01104430	2007-10-01 17:30	EDT	1.29	A	19	A	20.1	A	641	A	173.30	A	1185	A	17.3	A	0.00	A														
USGS	01104430	2007-10-01 17:45	EDT	1.29	A	19	A	20.2	A	639	A	173.30	A	1185	A	16.9	A	0.00	A														
USGS	01104430	2007-10-01 18:00	EDT	1.29	A	19	A	20.2	A	639	A	173.30	A	1185	A	16.7	A	0.00	A														
USGS	01104430	2007-10-01 18:15	EDT	1.29	A	19	A	20.1	A	641	A	173.30	A	1185	A	16.2	A	0.00	A														
USGS	01104430	2007-10-01 18:30	EDT	1.29	A	19	A	20.1	A	641	A	173.30	A	1185	A	15.8	A	0.00	A														
USGS	01104430	2007-10-01 18:45	EDT	1.29	A	19	A	20.1	A	641	A	173.30	A	1185	A	15.1	A	0.00	A														
USGS	01104430	2007-10-01 19:00	EDT	1.29	A	19	A	20.1	A	641	A	173.30	A	1185	A	14.4	A	0.00	A														
USGS	01104430	2007-10-01 19:15	EDT	1.29	A	19	A	20.1	A	640	A	173.30	A	1185	A	13.8	A	0.00	A														
USGS	01104430	2007-10-01 19:30	EDT	1.29	A	19	A	20.2	A	639	A	173.30	A	1185	A	13.3	A	0.00	A														
USGS	01104430	2007-10-01 19:45	EDT	1.29	A	19	A	20.1	A	640	A	173.29	A	1184	A	13.0	A	0.00	A														
USGS	01104430	2007-10-01 20:00	EDT	1.29	A	19	A	20.1	A	637	A	173.29	A	1184	A	12.8	A	0.00	A														
USGS	01104430	2007-10-01 20:15	EDT	1.29	A	19	A	20.1	A	641	A	173.29	A	1184	A	12.9	A	0.00	A														
USGS	01104430	2007-10-01 20:30	EDT	1.29	A	19	A	20.0	A	641	A	173.29	A	1184	A	12.8	A	0.00	A														
USGS	01104430	2007-10-01 20:45	EDT	1.29	A	19	A	20.0	A	636	A	173.29	A	1184	A	12.6	A	0.00	A														
USGS	01104430	2007-10-01 21:00	EDT	1.29	A	19	A	20.0	A	641	A	173.29	A	1184	A	12.2	A	0.00	A														
USGS	01104430	2007-10-01 21:15	EDT	1.29	A	19	A	20.2	A	638	A	173.29	A	1184	A	12.0	A	0.00	A														
USGS	01104430	2007-10-01 21:30	EDT	1.29	A	19	A	20.0	A	640	A	173.29	A	1184	A	11.7	A	0.00	A														
USGS	01104430	2007-10-01 21:45	EDT	1.29	A	19	A	20.0	A	640	A	173.28	A	1183	A	11.2	A	0.00	A														
USGS	01104430	2007-10-01 22:00	EDT	1.29	A	19	A	19.9	A	642	A	173.28	A	1183	A	10.7	A	0.00	A														
USGS	01104430	2007-10-01 22:15	EDT	1.29	A	19	A	19.9	A	642	A	173.28	A	1183	A	10.4	A	0.00	A														
USGS	01104430	2007-10-01 22:30	EDT	1.29	A	19	A	20.0	A	640	A	173.28	A	1183	A	10	A	0.00	A														
USGS	01104430	2007-10-01 22:45	EDT	1.29	A	19	A	20.0	A	640	A	173.28	A	1183	A	9.8	A	0.00	A														
USGS	01104430	2007-10-01 23:00	EDT	1.29	A	19	A	19.9	A	640	A	173.28	A	1183	A	9.5	A	0.00	A														
USGS	01104430	2007-10-01 23:15	EDT	1.29	A	19	A	19.9	A	640	A	173.28	A	1183	A	9.2	A	0.00	A														
USGS	01104430	2007-10-01 23:30	EDT	1.29	A	19	A	19.9	A	640	A	173.28	A	1183	A	9.0	A	0.00	A														
USGS	01104430	2007-10-01 23:45	EDT	1.29	A	19	A	19.9	A	640	A	173.27	A	1181	A	8.8	A	0.00	A														
USGS	01104430	2007-10-02 00:00	EDT	1.29	A	19	A	19.9	A	638	A	173.27	A	1181	A	8.7	A	0.00	A														
USGS	01104430	2007-10-02 00:15	EDT	1.29	A	19	A	19.9	A	640	A	173.27	A	1181	A	8.5	A	0.00	A														
USGS	01104430	2007-10-02 00:30	EDT	1.29	A	19	A	19.8	A	641	A	173.27	A	1181	A	8.3	A	0.00	A														
USGS	01104430	2007-10-02 00:45	EDT	1.29	A	19	A	19.8	A	640	A	173.27	A	1181	A	7.9	A	0.00	A														
USGS	01104430	2007-10-02 01:00	EDT	1.29	A	19	A	19.8	A	640	A	173.27	A	1181	A	7.7	A	0.00	A														
USGS	01104430	2007-10-02 01:15	EDT	1.29	A	19	A	19.8	A	640	A	173.27	A	1181	A	7.5	A	0.00	A														
USGS	01104430	2007-10-02 01:30	EDT	1.29	A	19	A	19.8	A	640	A	173.27	A	1181	A	7.6	A	0.00	A														
USGS	01104430	2007-10-02 01:45	EDT	1.29	A	19	A	19.8	A	640	A	173.27	A	1181	A	7.7	A	0.00	A														
USGS	01104430	2007-10-02 02:00	EDT	1.29	A	19	A	19.8	A	640	A	173.27	A	1181	A	7.8	A	0.00	A														
USGS	01104430	2007-10-02 02:15	EDT	1.29	A	19	A	19.8	A	640	A	173.27	A	1181	A	7.8	A	0.00	A														
USGS	01104430	2007-10-02 02:30	EDT	1.29	A	19	A	19.7	A	640	A	173.27	A	1181	A	7.8	A	0.00	A														
USGS	01104430	2007-10-02 02:45	EDT	1.29	A	19	A	19.7	A	640	A	173.27	A	1181	A	7.7	A	0.00	A														
USGS	01104430	2007-10-02 03:00	EDT	1.29	A	19	A	19.7	A	640	A	173.27	A	1181	A	7.6	A	0.00	A														
USGS	01104430	2007-10-02 03:15	EDT	1.29	A	19	A	19.7	A	640	A	173.27	A	1181	A	7.5	A	0.00	A														
USGS	01104430	2007-10-02 03:30	EDT	1.29	A	19	A	19.7	A	639	A	173.27	A	1181	A	7.3	A	0.00	A														
USGS	01104430	2007-10-02 03:45	EDT	1.29	A	19	A	19.6	A	640	A	173.27	A	1181	A	7.2	A	0.00	A														
USGS	01104430	2007-10-02 04:00	EDT	1.29	A	19	A	19.6	A	640	A	173.26	A	1180	A	7.2	A	0.00	A														
USGS	01104430	2007-10-02 04:15	EDT	1.29	A	19	A	19.6	A	640	A	173.26	A	1180	A	7.1	A	0.00	A														
USGS	01104430	2007-10-02 04:30	EDT	1.29	A	19	A	19.6	A	640	A	173.26	A	1180	A	7.1	A	0.00	A														
USGS	01104430	2007-10-02 04:45	EDT	1.29	A	19	A	19.6	A	640	A	173.25	A	1178	A	6.9	A	0.00	A														
USGS	01104430	2007-10-02 05:00	EDT	1.29	A	19	A	19.5	A	640	A	173.25	A	1178	A	6.9	A	0.00	A														
USGS	01104430	2007-10-02 05:15	EDT	1.29	A	19	A	19.6	A	639	A	173.25	A	1178	A	6.8	A	0.00	A														
USGS	01104430	2007-10-02 05:30	EDT	1.29	A	19	A	19.5	A	640	A	173.25	A	1178	A	6.8	A	0.00	A														
USGS	01104430	2007-10-02 05:45	EDT	1.29	A	19	A	19.6	A	640	A	173.25	A	1178	A	6.8	A	0.00	A														
USGS	01104430	2007-10-02 06:00	EDT	1.29	A	19	A	19.5	A	640	A	173.25	A	1178	A	6.7	A	0.00	A														
USGS	01104430	2007-10-02 06:15	EDT	1.29	A	19	A	19.5	A	639	A	173.25	A	1178	A	6.5	A	0.00	A														
USGS	01104430	2007-10-02 06:30	EDT	1.29	A	19	A	19.5	A	639	A	173.24	A	1177	A	6.5	A	0.00	A														
USGS	01104430	2007-10-02 06:45	EDT	1.29	A	19	A	19.4	A	640	A	173.24	A	1177	A	6.4	A	0.00	A														
USGS	01104430	2007-10-02 07:00	EDT	1.29	A	19	A	19.4	A	640	A	173.24	A	1177	A	6.4	A	0.00	A														
USGS	01104430	2007-10-02 07:15	EDT	1.29	A	19	A	19.5	A	639	A	173.24	A	1177	A	6.5	A	0.00	A														
USGS	01104430	2007-10-02 07:30	EDT	1.29	A	19	A	19.4	A	641	A	173.24	A	1177	A	6.7	A	0.00	A														
USGS	01104430	2007-10-02 07:45	EDT	1.29	A	19	A	19.5	A	639	A	173.24	A	1177	A	7.2	A	0.00	A														
USGS	01104430	2007-10-02 08:00	EDT	1.29	A	19	A	19.4	A	640	A	173.24	A	1177	A	7.7	A	0.00	A														
USGS	01104430	2007-10-02 08:15	EDT	1.29	A	19	A	19.4	A	641	A	173.24	A	1177	A	8.6	A	0.00	A														
USGS	01104430	2007-10-02 08:30	EDT	1.29	A	19	A	19.5	A	639	A	173.24	A	1177	A	9.7	A	0.00	A														
USGS	01104430	2007-10-02 08:45	EDT	1.29	A	19	A	19.5	A	640	A	173.24	A	1177	A	10.4	A	0.00	A														
USGS	01104430	2007-10-02 09:00	EDT	1.29	A	19	A	19.6	A	639	A	173.24	A	1177	A	11.1	A	0.00	A														
USGS	01104430	2007-10-02 09:15	EDT	1.29	A	19	A	19.6	A	639	A	173.24	A	1177	A	11.8	A	0.00	A														
USGS	01104430	2007-10-02 09:30	EDT	1.28	A	18	A	19.5	A	640	A	173.24	A	1177	A	12.5	A	0.00	A														
USGS	01104430	2007-10-02 09:45	EDT	1.29	A	19	A	19.6	A	638	A	173.24	A	1177	A	13.7	A	0.00	A														
USGS	01104430	2007-10-02 10:00	EDT	1.29	A	19	A	19.5	A	641	A	173.24	A	1177	A	14.9	A	0.00	A														
USGS	01104430	2007-10-02 10:15	EDT	1.29	A	19	A	19.5	A	641	A	173.24	A	1177	A	15.7	A	0.00	A														
USGS	01104430	2007-10-02 10:30	EDT	1.29	A	19	A	19.6	A	639	A	173.23	A	1175	A	16.1	A	0.00	A														
USGS	01104430	2007-10-02 10:45	EDT	1.29	A	19	A	19.7	A	639	A	173.23	A	1175	A	16.9	A	0.00	A														
USGS	01104430	2007-10-02 11:00	EDT	1.29	A	19	A	19.7	A	639	A	173.23	A	1175	A	17.8	A	0.00	A														
USGS	01104430	2007-10-02 11:15	EDT	1.29	A	19	A	19.6	A	640	A	173.23	A	1175	A	18.4	A	0.00	A														
USGS	01104430	2007-10-02 11:30	EDT	1.29	A	19	A	19.7	A	639	A	173.23	A	1175	A	18.8	A	0.00	A														
USGS	01104430	2007-10-02 11:45	EDT	1.29	A	19	A	19.7	A	640	A	173.23	A	1175	A	19.2	A	0.00	A														
USGS	01104430	2007-10-02 12:00	EDT	1.29	A	19	A	19.6	A	640	A	173.23	A	1175	A	19.1	A	0.00	A														
USGS	01104430	2007-10-02 12:15	EDT	1.29	A	19	A	19.7	A	640	A	173.22	A	1174	A	18.9	A	0.00	A														
USGS	01104430	2007-10-02 12:30	EDT	1.28	A	18	A	19.7	A	640	A	173.22	A	1174	A	19.4	A	0.00	A														
USGS	01104430	2007-10-02 12:45	EDT	1.29	A	19	A	19.7	A	640	A	173.22	A	1174	A	19.9	A	0.00	A														
USGS	01104430	2007-10-02 13:00	EDT	1.29	A	19	A	19.7	A	640	A	173.22	A	1174	A	19.8	A	0.00	A														
USGS	01104430	2007-10-02 13:15	EDT	1.29	A	19	A	19.6	A	641	A	173.22	A	1174	A	20.4	A	0.00	A														
USGS	01104430	2007-10-02 13:30	EDT	1.29	A	19	A	19.8	A	639	A	173.22	A	1174	A	20.4	A	0.00	A														
USGS	01104430	2007-10-02 13:45	EDT	1.29	A	19	A	19.7	A	641	A	173.22	A	1174	A	20.1	A	0.00	A														
USGS	01104430	2007-10-02 14:00	EDT	1.29	A	19	A	19.7	A	641	A	173.22	A	1174	A	20.7	A	0.00	A														
USGS	01104430	2007-10-02 14:15	EDT	1.29	A	19	A	19.8	A	640	A	173.22	A	1174	A	20.6	A	0.00	A														
USGS	01104430	2007-10-02 14:30	EDT	1.29	A	19	A	19.7	A	640	A	173.22	A	1174	A	20.4	A	0.00	A														
USGS	01104430	2007-10-02 14:45	EDT	1.29	A	19	A	19.7	A	641	A	173.22	A	1174	A	20.8	A	0.00	A														
USGS	01104430	2007-10-02 15:00	EDT	1.29	A	19	A	19.7	A	641	A	173.22	A	1174	A	21.1	A	0.00	A														
USGS	01104430	2007-10-02 15:15	EDT	1.29	A	19	A	19.8	A	640	A	173.22	A	1174	A	20.6	A	0.00	A														
USGS	01104430	2007-10-02 15:30	EDT	1.29	A	19	A	19.8	A	640	A	173.22	A	1174	A	21.1	A	0.00	A														
USGS	01104430	2007-10-02 15:45	EDT	1.29	A	19	A	19.8	A	639	A	173.22	A	1174	A	20.6	A	0.00	A														
USGS	01104430	2007-10-02 16:00	EDT	1.29	A	19	A	19.8	A	640	A	173.22	A	1174	A	20.0	A	0.00	A														
USGS	01104430	2007-10-02 16:15	EDT	1.29	A	19	A	19.7	A	641	A	173.22	A	1174	A	19.7	A	0.00	A														
USGS	01104430	2007-10-02 16:30	EDT	1.29	A	19	A	19.7	A	641	A	173.22	A	1174	A	19.1	A	0.00	A														
USGS	01104430	2007-10-02 16:45	EDT	1.29	A	19	A	19.8	A	640	A	173.21	A	1172	A	19.0	A	0.00	A														
USGS	01104430	2007-10-02 17:00	EDT	1.29	A	19	A	19.7	A	640	A	173.21	A	1172	A	19.1	A	0.00	A														
USGS	01104430	2007-10-02 17:15	EDT	1.29	A	19	A	19.6	A	641	A	173.21	A	1172	A	18.6	A	0.00	A														
USGS	01104430	2007-10-02 17:30	EDT	1.29	A	19	A	19.8	A	640	A	173.21	A	1172	A	18.1	A	0.00	A														
USGS	01104430	2007-10-02 17:45	EDT	1.29	A	19	A	19.7	A	641	A	173.20	A	1171	A	17.9	A	0.00	A														
USGS	01104430	2007-10-02 18:00	EDT	1.29	A	19	A	19.8	A	640	A	173.20	A	1171	A	17.6	A	0.00	A														
USGS	01104430	2007-10-02 18:15	EDT	1.29	A	19	A	19.8	A	640	A	173.20	A	1171	A	17.4	A	0.00	A														
