# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-06-30 10:49:15 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01104410 CAMBRIDGE RES., UNNAMED TRIB 1, NR LEXINGTON, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01104410
#    DD parameter statistic   Description
#    02   00060     00003     Discharge, cubic feet per second (Mean)
#    03   00010     00003     Temperature, water, degrees Celsius (Mean)
#    04   00095     00003     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	02_00060_00003	02_00060_00003_cd	03_00010_00003	03_00010_00003_cd	04_00095_00003	04_00095_00003_cd
USGS	01104410	2012-01-03	0.74	A	1.9	A	1060	A
USGS	01104410	2012-01-04	0.48	A	0.6	A	1120	A
USGS	01104410	2012-01-05	0.56	A	2.5	A	1090	A
USGS	01104410	2012-01-06	0.54	A	3.2	A	1090	A
USGS	01104410	2012-01-07	0.66	A	4.1	A	1060	A
USGS	01104410	2012-01-08	0.69	A	4.0	A	1110	A
USGS	01104410	2012-01-09	0.49	A	2.5	A	1140	A
USGS	01104410	2012-01-10	0.53	A	3.6	A	1160	A
USGS	01104410	2012-01-11	0.52	A	3.0	A	1170	A
USGS	01104410	2012-01-12	2.7	A	2.5	A	1150	A
USGS	01104410	2012-01-13	1.7	A	2.8	A	886	A
USGS	01104410	2012-01-14	1.2	A	2.2	A	954	A
USGS	01104410	2012-01-15	0.79	A	0.2	A	1060	A
USGS	01104410	2012-01-16	0.51	A	0.4	A	1110	A
USGS	01104410	2012-01-17	0.59	A	2.8	A	1320	A
USGS	01104410	2012-01-18	0.72	A	2.7	A	1180	A
USGS	01104410	2012-01-19	0.58	A	1.0	A	1110	A
USGS	01104410	2012-01-20	0.49	A	1.5	A	1270	A
USGS	01104410	2012-01-21	0.53	A	0.1	A	1410	A
USGS	01104410	2012-01-22	0.47	A	0.9	A	1390	A
USGS	01104410	2012-01-23	0.76	A	3.0	A	1280	A
USGS	01104410	2012-01-24	1.2	A	3.7	A	1390	A
USGS	01104410	2012-01-25	0.84	A	3.5	A	1220	A
USGS	01104410	2012-01-26	0.84	A	3.8	A	1250	A
USGS	01104410	2012-01-27	4.2	A	2.1	A	748	A
USGS	01104410	2012-01-28	1.6	A	2.9	A	913	A
USGS	01104410	2012-01-29	1.3	A	3.0	A	989	A
USGS	01104410	2012-01-30	1.0	A	2.9	A	983	A
USGS	01104410	2012-01-31	1.1	A	3.3	A	986	A
USGS	01104410	2012-02-01	1.1	A	4.4	A	1060	A
USGS	01104410	2012-02-02	0.92	A	3.8	A	1070	A
USGS	01104410	2012-02-03	0.86	A	2.9	A	1070	A
USGS	01104410	2012-02-04	0.90	A	3.3	A	1060	A
USGS	01104410	2012-02-05	0.77	A	2.0	A	1080	A
USGS	01104410	2012-02-06	0.80	A	3.0	A	1080	A
USGS	01104410	2012-02-07	0.56	A	3.4	A	1090	A
USGS	01104410	2012-02-08	0.55	A	2.4	A	1110	A
USGS	01104410	2012-02-09	0.53	A	3.4	A	1110	A
USGS	01104410	2012-02-10	0.56	A	3.5	A	1120	A
USGS	01104410	2012-02-11	0.63	A	4.2	A	1140	A
USGS	01104410	2012-02-12	0.36	A	1.1	A	1180	A
USGS	01104410	2012-02-13	0.39	A	1.5	A	1210	A
USGS	01104410	2012-02-14	0.41	A	2.6	A	1190	A
USGS	01104410	2012-02-15	0.44	A	4.0	A	1200	A
USGS	01104410	2012-02-16	0.54	A	4.2	A	1200	A
USGS	01104410	2012-02-17	0.63	A	5.2	A	1190	A
USGS	01104410	2012-02-18	0.48	A	4.1	A	1200	A
USGS	01104410	2012-02-19	0.42	A	3.7	A	1230	A
USGS	01104410	2012-02-20	0.32	A	2.7	A	1270	A
USGS	01104410	2012-02-21	0.46	A	3.0	A	1290	A
USGS	01104410	2012-02-22	0.51	A	5.3	A	1260	A
USGS	01104410	2012-02-23	0.41	A	5.9	A	1270	A
USGS	01104410	2012-02-24	1.2	A	4.2	A	1180	A
USGS	01104410	2012-02-25	1.2	A	3.2	A	913	A
USGS	01104410	2012-02-26	0.45	A	2.8	A	1120	A
USGS	01104410	2012-02-27	0.61	A	3.8	A	1180	A
USGS	01104410	2012-02-28	0.45	A	4.8	A	1210	A
USGS	01104410	2012-02-29	0.61	A	3.1	A	1250	A
USGS	01104410	2012-03-01	0.93	A	1.7	A	1860	A
USGS	01104410	2012-03-02	0.81	A	2.2	A	1680	A
USGS	01104410	2012-03-03	1.4	A	2.4	A	1760	A
USGS	01104410	2012-03-04	0.98	A	2.7	A	1240	A
USGS	01104410	2012-03-05	0.58	A	2.8	A	1200	A
USGS	01104410	2012-03-06	0.55	A	2.5	A	1220	A
USGS	01104410	2012-03-07	1.1	A	4.0	A	1120	A
USGS	01104410	2012-03-08	1.7	A	5.7	A	1080	A
USGS	01104410	2012-03-09	0.98	A	5.7	A	1160	A
USGS	01104410	2012-03-10	0.66	A	4.3	A	1170	A
USGS	01104410	2012-03-11	0.70	A	5.3	A	1190	A
USGS	01104410	2012-03-12	0.75	A	7.5	A	1260	A
USGS	01104410	2012-03-13	0.94	A	9.0	A	1310	A
USGS	01104410	2012-03-14	0.80	A	8.4	A	1310	A
USGS	01104410	2012-03-15	0.66	A	6.7	A	1300	A
USGS	01104410	2012-03-16	0.67	A	6.0	A	1240	A
USGS	01104410	2012-03-17	0.63	A	6.7	A	1270	A
USGS	01104410	2012-03-18	0.62	A	8.6	A	1330	A
USGS	01104410	2012-03-19	0.62	A	10.2	A	1380	A
USGS	01104410	2012-03-20	0.60	A	10.6	A	1410	A
USGS	01104410	2012-03-21	0.58	A	12.2	A	1440	A
USGS	01104410	2012-03-22	0.51	A	12.9	A	1450	A
USGS	01104410	2012-03-23	0.58	A	12.9	A	1440	A
USGS	01104410	2012-03-24	0.50	A	9.4	A	1450	A
USGS	01104410	2012-03-25	0.41	A	8.5	A	1400	A
USGS	01104410	2012-03-26	0.71	A	7.7	A	1380	A
USGS	01104410	2012-03-27	0.64	A	5.1	A	1420	A
USGS	01104410	2012-03-28	0.39	A	6.5	A	1390	A
USGS	01104410	2012-03-29	0.83	A	7.3	A	1350	A
USGS	01104410	2012-03-30	0.64	A	7.3	A	1400	A
USGS	01104410	2012-03-31	0.53	A	6.6	A	1420	A
USGS	01104410	2012-04-01	0.51	A	6.6	A	1390	A
USGS	01104410	2012-04-02	0.87	A	7.7	A	1440	A
USGS	01104410	2012-04-03	0.62	A	7.3	A	1460	A
USGS	01104410	2012-04-04	0.64	A	9.3	A	1480	A
USGS	01104410	2012-04-05	0.71	A	8.0	A	1470	A
USGS	01104410	2012-04-06	0.57	A	7.2	A	1470	A
USGS	01104410	2012-04-07	0.54	A	7.6	A	1500	A
USGS	01104410	2012-04-08	0.39	A	7.7	A	1530	A
USGS	01104410	2012-04-09	0.54	A	8.4	A	1530	A
USGS	01104410	2012-04-10	0.57	A	9.8	A	1540	A
USGS	01104410	2012-04-11	0.59	A	9.8	A	1560	A
USGS	01104410	2012-04-12	0.94	A	7.9	A	1360	A
USGS	01104410	2012-04-13	0.75	A	9.0	A	1460	A
USGS	01104410	2012-04-14	0.62	A	10.8	A	1520	A
USGS	01104410	2012-04-15	0.62	A	13.4	A	1550	A
USGS	01104410	2012-04-16	0.57	A	16.6	A	1580	A
USGS	01104410	2012-04-17	0.64	A	16.4	A	1600	A
USGS	01104410	2012-04-18	0.49	A	13.1	A	1630	A
USGS	01104410	2012-04-19	0.43	A	13.3	A	1550	A
USGS	01104410	2012-04-20	0.46	A	14.2	A	1560	A
USGS	01104410	2012-04-21	0.40	A	15.1	A	1640	A
USGS	01104410	2012-04-22	1.0	A	12.1	A	1350	A
USGS	01104410	2012-04-23	4.8	A	10.2	A	614	A
USGS	01104410	2012-04-24	2.1	A	11.0	A	897	A
USGS	01104410	2012-04-25	1.4	A	11.0	A	1020	A
USGS	01104410	2012-04-26	0.90	A	11.0	A	1080	A
USGS	01104410	2012-04-27	1.2	A	11.6	A	1110	A
USGS	01104410	2012-04-28	0.80	A	9.8	A	1140	A
USGS	01104410	2012-04-29	0.70	A	10.2	A	1170	A
USGS	01104410	2012-04-30	0.59	A	10.2	A	1200	A
USGS	01104410	2012-05-01	1.6	A	9.4	A	947	A
USGS	01104410	2012-05-02	1.1	A	9.5	A	1050	A
USGS	01104410	2012-05-03	0.77	A	9.8	A	1100	A
USGS	01104410	2012-05-04	0.62	A	10.6	A	1140	A
USGS	01104410	2012-05-05	1.6	A	11.4	A	986	A
USGS	01104410	2012-05-06	0.80	A	11.4	A	1110	A
USGS	01104410	2012-05-07	0.66	A	12.5	A	1170	A
USGS	01104410	2012-05-08	0.67	A	11.3	A	1100	A
USGS	01104410	2012-05-09	0.76	A	12.4	A	1080	A
USGS	01104410	2012-05-10	4.2	A	13.3	A	645	A
USGS	01104410	2012-05-11	1.8	A	11.9	A	867	A
USGS	01104410	2012-05-12	1.1	A	12.8	A	944	A
USGS	01104410	2012-05-13	0.92	A	14.4	A	993	A
USGS	01104410	2012-05-14	0.92	A	14.5	A	1020	A
USGS	01104410	2012-05-15	0.95	A	14.9	A	970	A
USGS	01104410	2012-05-16	1.1	A	15.0	A	896	A
USGS	01104410	2012-05-17	0.71	A	14.6	A	995	A
USGS	01104410	2012-05-18	0.39	A	13.4	A	1040	A
USGS	01104410	2012-05-19	0.28	A	13.9	A	1070	A
USGS	01104410	2012-05-20	0.31	A	14.7	A	1100	A
USGS	01104410	2012-05-21	0.03	A	13.8	A	1130	A
USGS	01104410	2012-05-22	0.43	A	14.4	A	988	A
USGS	01104410	2012-05-23	0.58	A	15.3	A	1030	A
USGS	01104410	2012-05-24	0.41	A	16.0	A	1130	A
USGS	01104410	2012-05-25	0.20	A	15.7	A	1190	A
USGS	01104410	2012-05-26	0.29	A	17.1	A	1180	A
USGS	01104410	2012-05-27	0.15	A	16.6	A	1210	A
USGS	01104410	2012-05-28	0.07	A	16.6	A	1250	A
USGS	01104410	2012-05-29	0.11	A	16.1	A	1250	A
USGS	01104410	2012-05-30	0.28	A	16.4	A	1110	A
USGS	01104410	2012-05-31	0.18	A	16.9	A	1240	A
USGS	01104410	2012-06-01	0.02	A	15.5	A	1320	A
USGS	01104410	2012-06-02	1.4	A	14.5	A	845	A
USGS	01104410	2012-06-03	0.81	A	14.6	A	928	A
USGS	01104410	2012-06-04	0.52	A	12.6	A	986	A
USGS	01104410	2012-06-05	0.44	A	12.0	A	1040	A
USGS	01104410	2012-06-06	0.23	A	12.6	A	1090	A
USGS	01104410	2012-06-07	0.19	A	13.9	A	1110	A
USGS	01104410	2012-06-08	0.42	A	14.8	A	1030	A
USGS	01104410	2012-06-09	0.46	A	15.6	A	1050	A
USGS	01104410	2012-06-10	0.32	A	15.9	A	1150	A
USGS	01104410	2012-06-11	0.04	A	15.6	A	1250	A
USGS	01104410	2012-06-12	0.01	A	16.0	A	1290	A
USGS	01104410	2012-06-13	0.90	A	16.3	A	882	A
USGS	01104410	2012-06-14	0.39	A	16.1	A	1130	A
USGS	01104410	2012-06-15	0.03	A	15.3	A	1240	A
USGS	01104410	2012-06-16	0.01	A	14.6	A	1310	A
USGS	01104410	2012-06-17	0.01	A	14.1	A	1340	A
USGS	01104410	2012-06-18	0.01	A	14.2	A	1350	A
USGS	01104410	2012-06-19	0.01	A	15.3	A	1370	A
USGS	01104410	2012-06-20	0.01	A	18.1	A	1360	A
USGS	01104410	2012-06-21	0.01	A	20.1	A	1350	A
USGS	01104410	2012-06-22	0.04	A	20.5	A	1330	A
USGS	01104410	2012-06-23	1.0	A	19.7	A	1120	A
USGS	01104410	2012-06-24	0.50	A	18.3	A	991	A
USGS	01104410	2012-06-25	0.70	A	17.8	A	974	A
USGS	01104410	2012-06-26	0.38	A	16.6	A	1120	A
USGS	01104410	2012-06-27	0.16	A	16.3	A	1270	A
USGS	01104410	2012-06-28	0.05	A	17.3	A	1310	A
USGS	01104410	2012-06-29	0.18	A	18.3	A	1230	A
USGS	01104410	2012-06-30	0.07	A	18.9	A	1350	A
USGS	01104410	2012-07-01	0.03	A	19.8	A	1390	A
USGS	01104410	2012-07-02	0.01	A	19.4	A	1420	A
USGS	01104410	2012-07-03	0.01	A	19.1	A	1410	A
USGS	01104410	2012-07-04	0.18	A	19.9	A	1130	A
USGS	01104410	2012-07-05	0.03	A	20.2	A	1350	A
USGS	01104410	2012-07-06	0.01	A	19.9	A	1420	A
USGS	01104410	2012-07-07	0.01	A	19.9	A	1480	A
USGS	01104410	2012-07-08	0.01	A	20.1	A	1430	A
USGS	01104410	2012-07-09	0.01	A	19.0	A	1410	A
USGS	01104410	2012-07-10	0.01	A	18.1	A	1430	A
USGS	01104410	2012-07-11	0.01	A	19.1	A	1400	A
USGS	01104410	2012-07-12	0.01	A	20.2	A	1370	A
USGS	01104410	2012-07-13	0.01	A	20.9	A	1350	A
USGS	01104410	2012-07-14	0.01	A	21.4	A	1330	A
USGS	01104410	2012-07-15	0.00	A	21.7	A	1330	A
USGS	01104410	2012-07-16	0.00	A	22.7	A		
USGS	01104410	2012-07-17	0.00	A	22.9	A		
USGS	01104410	2012-07-18	0.00	A	23.5	A		
USGS	01104410	2012-07-19	0.00	A	20.6	A		
USGS	01104410	2012-07-20	0.00	A	18.4	A		
USGS	01104410	2012-07-21	0.00	A	17.2	A		
USGS	01104410	2012-07-22	0.00	A	20.0	A		
USGS	01104410	2012-07-23	0.00	A	21.0	A		
USGS	01104410	2012-07-24	0.01	A	22.1	A		
USGS	01104410	2012-07-25	0.00	A	19.8	A		
USGS	01104410	2012-07-26	0.00	A	20.6	A		
USGS	01104410	2012-07-27	0.00	A	20.7	A		
USGS	01104410	2012-07-28	0.18	A	20.4	A		
USGS	01104410	2012-07-29	0.01	A	19.4	A	1090	A
USGS	01104410	2012-07-30	0.00	A	19.1	A	1440	A
USGS	01104410	2012-07-31	0.05	A	19.4	A		
USGS	01104410	2012-08-01	0.25	A	20.7	A	909	A
USGS	01104410	2012-08-02	0.01	A	21.3	A	1450	A
USGS	01104410	2012-08-03	0.00	A	22.4	A		
USGS	01104410	2012-08-04	0.00	A	23.2	A		
USGS	01104410	2012-08-05	0.07	A	23.8	A		
USGS	01104410	2012-08-06	0.00	A	21.8	A		
USGS	01104410	2012-08-07	0.00	A	19.4	A		
USGS	01104410	2012-08-08	0.00	A	21.0	A		
USGS	01104410	2012-08-09	0.00	A	23.1	A		
USGS	01104410	2012-08-10	0.79	A	23.3	A		
USGS	01104410	2012-08-11	0.89	A	21.7	A	1150	A
USGS	01104410	2012-08-12	0.55	A	21.9	A	1410	A
USGS	01104410	2012-08-13	0.44	A	21.3	A	1610	A
USGS	01104410	2012-08-14	0.28	A	20.5	A	1730	A
USGS	01104410	2012-08-15	1.2	A	20.8	A	1210	A
USGS	01104410	2012-08-16	2.3	A	20.6	A	874	A
USGS	01104410	2012-08-17	0.74	A	19.9	A	1460	A
USGS	01104410	2012-08-18	0.79	A	19.3	A	1410	A
USGS	01104410	2012-08-19	0.47	A	17.6	A	1720	A
USGS	01104410	2012-08-20	0.46	A	18.1	A	1840	A
USGS	01104410	2012-08-21	0.60	A	18.8	A	1880	A
USGS	01104410	2012-08-22	0.47	A	18.4	A	1940	A
USGS	01104410	2012-08-23	0.53	A	19.2	A	2000	A
USGS	01104410	2012-08-24	0.61	A	19.7	A	2070	A
USGS	01104410	2012-08-25	0.40	A	19.9	A	2140	A
USGS	01104410	2012-08-26	0.06	A	18.8	A	2210	A
USGS	01104410	2012-08-27	0.00	A	19.5	A		
USGS	01104410	2012-08-28	0.63	A	21.3	A		
USGS	01104410	2012-08-29	0.25	A	17.6	A		
USGS	01104410	2012-08-30	0.00	A	16.6	A		
USGS	01104410	2012-08-31	0.00	A	18.9	A		
USGS	01104410	2012-09-01	0.00	A	19.6	A		
USGS	01104410	2012-09-02	0.00	A	17.7	A		
USGS	01104410	2012-09-03	0.00	A	18.2	A		
USGS	01104410	2012-09-04	0.63	A	18.7	A		
USGS	01104410	2012-09-05	2.0	A	20.6	A	1120	A
USGS	01104410	2012-09-06	1.1	A	19.6	A	1710	A
USGS	01104410	2012-09-07	2.0	A	20.3	A	1690	A
USGS	01104410	2012-09-08	1.8	A	20.9	A	1420	A
USGS	01104410	2012-09-09	1.3	A	18.3	A	1690	A
USGS	01104410	2012-09-10	0.67	A	15.6	A	1950	A
USGS	01104410	2012-09-11	0.39	A	14.3	A	2130	A
USGS	01104410	2012-09-12	0.06	A:e	14.8	A	2290	A
USGS	01104410	2012-09-13	0.08	A:e	16.7	A	2360	A
USGS	01104410	2012-09-14	0.07	A:e	17.8	A	2470	A
USGS	01104410	2012-09-15	0.07	A:e	17.5	A	2120	A
USGS	01104410	2012-09-16	0.05	A:e	14.2	A	2680	A
USGS	01104410	2012-09-17	0.05	A:e	13.4	A	2690	A
USGS	01104410	2012-09-18	0.11	A:e	15.9	A	2430	A
USGS	01104410	2012-09-19	1.8	A:e	17.4	A	1150	A
USGS	01104410	2012-09-20	0.15	A:e	13.3	A	1850	A
USGS	01104410	2012-09-21	0.06	A:e	12.6	A	2060	A
USGS	01104410	2012-09-22	0.09	A:e	14.4	A	2110	A
USGS	01104410	2012-09-23	0.07	A:e	15.6	A	2060	A
USGS	01104410	2012-09-24	0.06	A:e	12.3	A	2300	A
USGS	01104410	2012-09-25	0.05	A:e	12.4	A	2410	A
USGS	01104410	2012-09-26	0.05	A:e	15.0	A	2510	A
USGS	01104410	2012-09-27	0.05	A:e	15.4	A	2540	A
USGS	01104410	2012-09-28	0.49	A:e	13.4	A	1610	A
USGS	01104410	2012-09-29	1.2	A:e	13.4	A	1350	A
USGS	01104410	2012-09-30	0.82	A:e	13.3	A	1710	A
USGS	01104410	2012-10-01	0.46	A:e	13.1	A	1990	A
USGS	01104410	2012-10-02	0.29	A:e	14.0	A	1970	A
USGS	01104410	2012-10-03	0.42	A:e	15.1	A	2000	A
USGS	01104410	2012-10-04	0.46	A:e	15.0	A	1880	A
USGS	01104410	2012-10-05	0.38	A:e	15.7	A	2110	A
USGS	01104410	2012-10-06	0.15	A:e	15.8	A	2240	A
USGS	01104410	2012-10-07	0.15	A:e	12.3	A	2350	A
USGS	01104410	2012-10-08	0.33	A:e	11.1	A	1960	A
USGS	01104410	2012-10-09	0.29	A:e	11.3	A	2320	A
USGS	01104410	2012-10-10	0.24	A:e	12.3	A	2060	A
USGS	01104410	2012-10-11	0.58	A:e	11.2	A	2050	A
USGS	01104410	2012-10-12	0.33	A:e	9.1	A	2200	A
USGS	01104410	2012-10-13	0.30	A:e	6.9	A	2380	A
USGS	01104410	2012-10-14	0.71	A:e	9.7	A	1930	A
USGS	01104410	2012-10-15	1.4	A:e	13.5	A	2130	A
USGS	01104410	2012-10-16	1.2	A:e	12.5	A	1710	A
USGS	01104410	2012-10-17	0.72	A:e	9.1	A	2130	A
USGS	01104410	2012-10-18	0.54	A:e	10.0	A	2310	A
USGS	01104410	2012-10-19	0.99	A:e	12.4	A	2120	A
USGS	01104410	2012-10-20	3.0	A:e	15.4	A	838	A
USGS	01104410	2012-10-21	1.7	A:e	12.3	A	1380	A
USGS	01104410	2012-10-22	1.1	A:e	11.7	A	1560	A
USGS	01104410	2012-10-23	0.71	A:e	11.1	A	1680	A
USGS	01104410	2012-10-24	0.49	A:e	10.8	A	1760	A
USGS	01104410	2012-10-25	0.35	A:e	10.4	A	1830	A
USGS	01104410	2012-10-26	0.28	A:e	11.0	A	1860	A
USGS	01104410	2012-10-27	0.30	A:e	11.6	A	1900	A
USGS	01104410	2012-10-28	0.45	A:e	11.6	A	1860	A
USGS	01104410	2012-10-29	1.0	A:e	12.7	A	973	A
USGS	01104410	2012-10-30	3.3	A:e	14.1	A	498	A
USGS	01104410	2012-10-31	2.2	A:e	12.8	A	711	A
USGS	01104410	2012-11-01	1.5	A:e	11.4	A	859	A
USGS	01104410	2012-11-02	0.99	A:e	10.6	A	967	A
USGS	01104410	2012-11-03	0.84	A:e	9.7	A	1040	A
USGS	01104410	2012-11-04	0.61	A:e	8.3	A	1080	A
USGS	01104410	2012-11-05	0.52	A:e	7.5	A	1120	A
USGS	01104410	2012-11-06	0.33	A:e	5.1	A	1180	A
USGS	01104410	2012-11-07	0.33	A:e	4.3	A	1220	A
USGS	01104410	2012-11-08	0.85	A:e	4.4	A	1480	A
USGS	01104410	2012-11-09	0.98	A:e	6.0	A	1270	A
USGS	01104410	2012-11-10	0.38	A:e	6.1	A	1250	A
USGS	01104410	2012-11-11	0.34	A:e	7.9	A	1280	A
USGS	01104410	2012-11-12	0.34	A:e	10	A	1310	A
USGS	01104410	2012-11-13	0.82	A:e	10.8	A	1180	A
USGS	01104410	2012-11-14	0.49	A:e	6.7	A	1260	A
USGS	01104410	2012-11-15	0.32	A:e	5.5	A	1300	A
USGS	01104410	2012-11-16	0.25	A	5.5	A	1340	A
USGS	01104410	2012-11-17	0.11	A	4.8	A	1370	A
USGS	01104410	2012-11-18	0.11	A	4.2	A	1390	A
USGS	01104410	2012-11-19	0.10	A	4.1	A	1400	A
USGS	01104410	2012-11-20	0.11	A	4.2	A	1410	A
USGS	01104410	2012-11-21	0.12	A	5.3	A	1430	A
USGS	01104410	2012-11-22	0.08	A	5.8	A	1450	A
USGS	01104410	2012-11-23	0.10	A	5.7	A	1480	A
USGS	01104410	2012-11-24	0.16	A	6.1	A	1520	A
USGS	01104410	2012-11-25	0.07	A	3.3	A	1570	A
USGS	01104410	2012-11-26	0.11	A	3.4	A	1550	A
USGS	01104410	2012-11-27	0.18	A	3.4	A	1470	A
USGS	01104410	2012-11-28	0.21	A	3.8	A	1530	A
USGS	01104410	2012-11-29	0.20	A	2.8	A	1570	A
USGS	01104410	2012-11-30	0.23	A	3.0	A	1620	A
USGS	01104410	2012-12-01	0.11	A	2.3	A	1630	A
USGS	01104410	2012-12-02	0.29	A	4.3	A	1600	A
USGS	01104410	2012-12-03	0.46	A	6.4	A	1630	A
USGS	01104410	2012-12-04	0.39	A	6.0	A	1640	A
USGS	01104410	2012-12-05	0.47	A	8.3	A	1620	A
USGS	01104410	2012-12-06	0.16	A	3.1	A	1720	A
USGS	01104410	2012-12-07	0.20	A	3.3	A	1670	A
USGS	01104410	2012-12-08	0.56	A	5.9	A	1440	A
USGS	01104410	2012-12-09	0.38	A	5.2	A	1610	A
USGS	01104410	2012-12-10	1.1	A	6.4	A	1180	A
USGS	01104410	2012-12-11	0.56	A	7.0	A	1420	A
USGS	01104410	2012-12-12	0.25	A	3.7	A	1500	A
USGS	01104410	2012-12-13	0.16	A	2.8	A	1540	A
USGS	01104410	2012-12-14	0.20	A	2.7	A	1570	A
USGS	01104410	2012-12-15	0.16	A	2.6	A	1630	A
USGS	01104410	2012-12-16	0.13	A	1.9	A	1680	A
USGS	01104410	2012-12-17	0.43	A	2.8	A	5340	A
USGS	01104410	2012-12-18	2.4	A	2.7	A	1280	A
