# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-06-30 10:46:54 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01104415 CAMBRIDGE RES., UNNAMED TRIB 2, NR LEXINGTON, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01104415
#    DD parameter statistic   Description
#    02   00060     00003     Discharge, cubic feet per second (Mean)
#    03   00010     00001     Temperature, water, degrees Celsius (Maximum)
#    03   00010     00002     Temperature, water, degrees Celsius (Minimum)
#    03   00010     00003     Temperature, water, degrees Celsius (Mean)
#    04   00095     00001     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Maximum)
#    04   00095     00002     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Minimum)
#    04   00095     00003     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	02_00060_00003	02_00060_00003_cd	03_00010_00001	03_00010_00001_cd	03_00010_00002	03_00010_00002_cd	03_00010_00003	03_00010_00003_cd	04_00095_00001	04_00095_00001_cd	04_00095_00002	04_00095_00002_cd	04_00095_00003	04_00095_00003_cd
USGS	01104415	2005-01-02	0.84	A	4.5	A	2.6	A	3.6	A	1580	A	1230	A	1310	A
USGS	01104415	2005-01-03	1.1	A	6.9	A	4.5	A	5.8	A	1630	A	1100	A	1320	A
USGS	01104415	2005-01-04	2.3	A	6.1	A	4.4	A	5.3	A	1820	A	847	A	1030	A
USGS	01104415	2005-01-05	1.1	A	5.2	A	3.8	A	4.5	A	2370	A	1020	A	1590	A
USGS	01104415	2005-01-06	1.4	A	3.8	A	0.2	A	2.2	A	8850	A	1540	A	3960	A
USGS	01104415	2005-01-07	1.3	A	4.4	A	2.8	A	3.5	A	6050	A	1930	A	3070	A
USGS	01104415	2005-01-08	1.1	A	3.9	A	1.1	A	2.8	A	5610	A	1500	A	2340	A
USGS	01104415	2005-01-09	0.95	A	4.0	A	1.9	A	3.2	A	5830	A	2220	A	3410	A
USGS	01104415	2005-01-10	0.98	A	5.1	A	3.6	A	4.2	A	2730	A	1780	A	2170	A
USGS	01104415	2005-01-11	0.86	A	4.4	A	3.1	A	3.7	A	2280	A	1630	A	1780	A
USGS	01104415	2005-01-12	1.6	A	3.8	A	2.9	A	3.3	A	11800	A	1630	A	5370	A
USGS	01104415	2005-01-13	1.6	A	5.2	A	3.2	A	4.2	A	2980	A	1720	A	2000	A
USGS	01104415	2005-01-14	8.2	A	6.7	A	3.8	A	4.7	A	1760	A	615	A	915	A
USGS	01104415	2005-01-15	2.3	A	4.6	A	3.2	A	3.9	A	1040	A	818	A	961	A
USGS	01104415	2005-01-16	1.7	A	4.2	A	2.7	A	3.4	A	1190	A	1040	A	1100	A
USGS	01104415	2005-01-17	1.4	A	3.8	A	1.6	A	2.8	A	2080	A	1190	A	1800	A
USGS	01104415	2005-01-18	1.1	A	1.6	A	0.0	A	0.5	A	1550	A	1420	A	1450	A
USGS	01104415	2005-01-19	1.0	A	2.0	A	-0.1	A	0.9	A	3050	A	1420	A	1520	A
USGS	01104415	2005-01-20	1.0	A	3.0	A	1.1	A	1.9	A	5770	A	2360	A	3900	A
USGS	01104415	2005-01-21	0.86	A	1.1	A	-0.3	A	0.1	A	2360	A	1760	A	1910	A
USGS	01104415	2005-01-22	0.77	A	0.3	A	-0.6	A	-0.1	A	1770	A	1600	A	1710	A
USGS	01104415	2005-01-23	0.82	A	-0.2	A	-0.6	A	-0.4	A	1810	A	1520	A	1690	A
USGS	01104415	2005-01-24	0.75	A	0.8	A	-0.2	A	0.4	A	1650	A	1550	A	1580	A
USGS	01104415	2005-01-25	0.71	A	1.6	A	0.6	A	1.1	A	1700	A	1560	A	1620	A
USGS	01104415	2005-01-26	0.68	A	1.4	A	0.7	A	1.0	A	2050	A	1600	A	1700	A
USGS	01104415	2005-01-27	0.61	A	1.3	A	-0.1	A	0.6	A	2420	A	2050	A	2320	A
USGS	01104415	2005-01-28	0.58	A	1.0	A	-0.3	A	0.2	A	2230	A	1790	A	1970	A
USGS	01104415	2005-01-29	0.58	A	1.4	A	-0.3	A	0.5	A	1790	A	1690	A	1730	A
USGS	01104415	2005-01-30	0.58	A	2.7	A	0.7	A	1.6	A	1800	A	1620	A	1710	A
USGS	01104415	2005-01-31	0.53	A	2.4	A	0.1	A	1.1	A	1800	A	1660	A	1720	A
USGS	01104415	2005-02-01	0.53	A	2.0	A	-0.3	A	0.7	A	1680	A	1610	A	1650	A
USGS	01104415	2005-02-02	0.52	A	2.3	A	-0.2	A	0.9	A	1650	A	1600	A	1620	A
USGS	01104415	2005-02-03	0.58	A	3.0	A	0.0	A	1.4	A	3500	A	1570	A	1860	A
USGS	01104415	2005-02-04	0.72	A	2.7	A	1.1	A	2.0	A	10400	A	3500	A	7390	A
USGS	01104415	2005-02-05	0.66	A	4.5	A	0.8	A	2.4	A	5370	A	2720	A	3580	A
USGS	01104415	2005-02-06	0.64	A	4.6	A	1.0	A	2.5	A	2820	A	2190	A	2440	A
USGS	01104415	2005-02-07	0.64	A	4.7	A	0.8	A	2.5	A	2320	A	2080	A	2190	A
USGS	01104415	2005-02-08	0.66	A	4.7	A	1.9	A	3.1	A	2160	A	2000	A	2070	A
USGS	01104415	2005-02-09	0.77	A	5.2	A	2.4	A	3.7	A	2200	A	1910	A	2060	A
USGS	01104415	2005-02-10	3.4	A	3.7	A	1.4	A	2.0	A	3010	A	1090	A	1750	A
USGS	01104415	2005-02-11	1.5	A	3.4	A	1.4	A	2.1	A	4450	A	2200	A	3320	A
USGS	01104415	2005-02-12	1.1	A	4.4	A	1.1	A	2.5	A	2200	A	1650	A	1810	A
USGS	01104415	2005-02-13	0.90	A	4.8	A	1.6	A	2.7	A	1750	A	1690	A	1710	A
USGS	01104415	2005-02-14	0.83	A	4.2	A	0.6	A	2.4	A	1760	A	1700	A	1720	A
USGS	01104415	2005-02-15	3.9	A	4.1	A	1.8	A	2.8	A	3800	A	935	A	1510	A
USGS	01104415	2005-02-16	3.2	A	5.7	A	2.4	A	3.7	A	1230	A	741	A	1090	A
USGS	01104415	2005-02-17	2.0	A	4.7	A	2.4	A	3.3	A	1160	A	761	A	1020	A
USGS	01104415	2005-02-18	1.4	A	5.0	A	1.2	A	2.9	A	1310	A	1160	A	1240	A
USGS	01104415	2005-02-19	1.2	A	3.5	A	0.3	A	1.5	A	1420	A	1310	A	1380	A
USGS	01104415	2005-02-20	1.00	A	4.0	A	0.8	A	1.9	A	1500	A	1420	A	1470	A
USGS	01104415	2005-02-21	1.0	A	2.2	A	0.6	A	1.6	A	5690	A	1490	A	3140	A
USGS	01104415	2005-02-22	0.94	A	3.8	A	1.7	A	2.6	A	5600	A	2640	A	3760	A
USGS	01104415	2005-02-23	0.88	A	4.8	A	1.4	A	3.0	A	2640	A	2090	A	2270	A
USGS	01104415	2005-02-24	0.80	A	3.9	A	0.0	A	1.6	A	2170	A	1880	A	2000	A
USGS	01104415	2005-02-25	0.83	A	3.9	A	0.2	A	1.6	A	8060	A	1890	A	5390	A
USGS	01104415	2005-02-26	0.74	A	3.4	A	-0.3	A	1.4	A	4320	A	2200	A	2910	A
USGS	01104415	2005-02-27	0.69	A	3.9	A	0.1	A	1.5	A	2210	A	1980	A	2070	A
USGS	01104415	2005-02-28	0.67	A	3.1	A	-0.1	A	1.5	A	1980	A	1930	A	1960	A
USGS	01104415	2005-03-01	0.77	A	2.5	A	-0.2	A	1.3	A	7950	A	1950	A	4670	A
USGS	01104415	2005-03-02	0.68	A	3.1	A	1.2	A	2.0	A	6990	A	3580	A	5470	A
USGS	01104415	2005-03-03	0.61	A	3.0	A	0.1	A	1.2	A	3580	A	2550	A	2900	A
USGS	01104415	2005-03-04	0.58	A	3.0	A	-0.3	A	1.0	A	2550	A	2260	A	2370	A
USGS	01104415	2005-03-05	0.59	A	4.5	A	-0.1	A	1.7	A	2330	A	2150	A	2220	A
USGS	01104415	2005-03-06	0.60	A	4.8	A	0.5	A	2.6	A	2340	A	2160	A	2250	A
USGS	01104415	2005-03-07	0.75	A	5.8	A	2.3	A	3.8	A	2570	A	2160	A	2280	A
USGS	01104415	2005-03-08	1.8	A	3.7	A	-0.7	A	2.2	A	3920	A	1950	A	2910	A
USGS	01104415	2005-03-09	0.98	A	1.7	A	-0.5	A	0.4	A	4340	A	2430	A	3100	A
USGS	01104415	2005-03-10	0.80	A	3.2	A	-0.3	A	1.0	A	3310	A	2230	A	2620	A
USGS	01104415	2005-03-11	0.74	A	3.0	A	-0.1	A	1.4	A	3440	A	2100	A	2550	A
USGS	01104415	2005-03-12	0.95	A	2.6	A	0.5	A	1.6	A	16100	A	2540	A	7080	A
USGS	01104415	2005-03-13	1.0	A	4.0	A	1.2	A	2.4	A	16800	A	4960	A	10400	A
USGS	01104415	2005-03-14	0.96	A	6.1	A	1.0	A	2.9	A	4960	A	3260	A	3780	A
USGS	01104415	2005-03-15	1.1	A	6.9	A	1.5	A	3.4	A	3570	A	2910	A	3210	A
USGS	01104415	2005-03-16	1.1	A	7.2	A	1.9	A	3.7	A	2950	A	2480	A	2730	A
USGS	01104415	2005-03-17	1.1	A	7.2	A	1.1	A	3.5	A	2490	A	2240	A	2400	A
USGS	01104415	2005-03-18	1.1	A	7.0	A	1.6	A	3.7	A	2280	A	2060	A	2210	A
USGS	01104415	2005-03-19	1.1	A	7.6	A	1.5	A	3.8	A	2060	A	1810	A	2000	A
USGS	01104415	2005-03-20	1.1	A	7.1	A	1.3	A	3.9	A	1880	A	1660	A	1820	A
USGS	01104415	2005-03-21	1.2	A	6.3	A	2.8	A	4.3	A	1740	A	1620	A	1690	A
USGS	01104415	2005-03-22	1.2	A	8.5	A	2.0	A	4.6	A	1690	A	1410	A	1590	A
USGS	01104415	2005-03-23	1.1	A	5.5	A	2.9	A	4.1	A	1630	A	1410	A	1550	A
USGS	01104415	2005-03-24	1.5	A	4.7	A	2.0	A	3.2	A	10700	A	1620	A	5220	A
USGS	01104415	2005-03-25	1.3	A	7.3	A	2.3	A	4.3	A	2510	A	1760	A	2030	A
USGS	01104415	2005-03-26	1.1	A	8.3	A	1.8	A	4.4	A	1850	A	1760	A	1820	A
USGS	01104415	2005-03-27	1.1	A	9.3	A	2.3	A	5.2	A	1880	A	1730	A	1820	A
USGS	01104415	2005-03-28	8.3	A	4.7	A	3.4	A	4.2	A	2770	A	914	A	1630	A
USGS	01104415	2005-03-29	6.3	A	5.7	A	3.4	A	4.7	A	1400	A	929	A	1160	A
USGS	01104415	2005-03-30	2.5	A	9.5	A	3.9	A	6.1	A	1610	A	1400	A	1530	A
USGS	01104415	2005-03-31	2.0	A	9.7	A	4.1	A	6.4	A	1780	A	1610	A	1680	A
USGS	01104415	2005-04-01	1.7	A	9.7	A	5.5	A	6.9	A	1840	A	1710	A	1760	A
USGS	01104415	2005-04-02	4.7	A	6.4	A	5.0	A	5.7	A	1980	A	675	A	1320	A
USGS	01104415	2005-04-03	5.9	A	8.7	A	6.2	A	7.3	A	1530	A	502	A	1090	A
USGS	01104415	2005-04-04	2.2	A	8.6	A	5.8	A	6.8	A	1690	A	1400	A	1550	A
USGS	01104415	2005-04-05	1.7	A	11.0	A	4.8	A	7.3	A	1830	A	1660	A	1740	A
USGS	01104415	2005-04-06	1.5	A	11.0	A	5.8	A	8.1	A	2080	A	1800	A	1870	A
USGS	01104415	2005-04-07	1.4	A	11.0	A	6.8	A	8.7	A	1950	A	1860	A	1910	A
USGS	01104415	2005-04-08	1.9	A	11.6	A	7.4	A	9.4	A	2120	A	1020	A	1570	A
USGS	01104415	2005-04-09	1.3	A	12.2	A	5.5	A	8.3	A	1990	A	1840	A	1910	A
USGS	01104415	2005-04-10	1.2	A	12.6	A	5.3	A	8.6	A	2080	A	1950	A	2010	A
USGS	01104415	2005-04-11	0.95	A	11.4	A	5.8	A	8.1	A	2140	A	2050	A	2100	A
USGS	01104415	2005-04-12	0.86	A	9.5	A	4.4	A	6.7	A	2200	A	2050	A	2130	A
USGS	01104415	2005-04-13	0.84	A	10.7	A	4.5	A	7.3	A	2210	A	2110	A	2160	A
USGS	01104415	2005-04-14	0.78	A	12.2	A	5.2	A	8.0	A	2290	A	2180	A	2220	A
USGS	01104415	2005-04-15	0.70	A	11.4	A	4.6	A	7.4	A	2390	A	2250	A	2300	A
USGS	01104415	2005-04-16	0.68	A	11.9	A	4.2	A	7.6	A	2420	A	2310	A	2360	A
USGS	01104415	2005-04-17	0.66	A	13.7	A	5.1	A	9.0	A	2450	A	2350	A	2400	A
USGS	01104415	2005-04-18	0.61	A	14.1	A	7.0	A	10.1	A	2520	A	2400	A	2460	A
USGS	01104415	2005-04-19	0.57	A	14.7	A	6.6	A	10.4	A	2570	A	2470	A	2530	A
USGS	01104415	2005-04-20	0.56	A	16.8	A	9.4	A	12.7	A	2580	A	2060	A	2530	A
USGS	01104415	2005-04-21	0.77	A	14.4	A	8.5	A	11.3	A	3020	A	1690	A	2130	A
USGS	01104415	2005-04-22	0.51	A	13.4	A	6.1	A	9.4	A	2530	A	2330	A	2440	A
USGS	01104415	2005-04-23	1.4	A	10.8	A	8.2	A	9.5	A	2990	A	858	A	1940	A
USGS	01104415	2005-04-24	2.1	A	13.2	A	9.3	A	11.2	A	1820	A	738	A	1340	A
USGS	01104415	2005-04-25	1.2	A	11.0	A	7.8	A	9.2	A	2080	A	1050	A	1670	A
USGS	01104415	2005-04-26	0.72	A	13.7	A	6.6	A	9.9	A	2390	A	2010	A	2160	A
USGS	01104415	2005-04-27	1.4	A	11.0	A	9.3	A	10.0	A	2410	A	829	A	1830	A
USGS	01104415	2005-04-28	1.0	A	12.4	A	9.0	A	10.2	A	2040	A	1490	A	1790	A
USGS	01104415	2005-04-29	0.76	A	14.5	A	7.3	A	10.5	A	2270	A	2040	A	2150	A
USGS	01104415	2005-04-30	1.4	A	11.6	A	9.0	A	10.1	A	2710	A	760	A	2050	A
USGS	01104415	2005-05-01	1.3	A	11.9	A	9.2	A	10.9	A	1800	A	764	A	1370	A
USGS	01104415	2005-05-02	0.81	A	13.8	A	7.5	A	10.2	A	2080	A	1750	A	1940	A
USGS	01104415	2005-05-03	0.78	A	13.1	A	7.8	A	10.2	A	2230	A	1940	A	2060	A
USGS	01104415	2005-05-04	0.64	A	12.4	A	7.5	A	9.7	A	2340	A	2180	A	2250	A
USGS	01104415	2005-05-05	0.58	A	14.5	A	6.7	A	10.2	A	2440	A	2310	A	2370	A
USGS	01104415	2005-05-06	0.55	A	11.3	A	7.4	A	9.4	A	2490	A	2410	A	2450	A
USGS	01104415	2005-05-07	2.1	A	9.0	A	7.6	A	8.5	A	2480	A	917	A	1520	A
USGS	01104415	2005-05-08	1.0	A	9.6	A	7.2	A	8.4	A	2030	A	1140	A	1730	A
USGS	01104415	2005-05-09	0.79	A	11.8	A	8.5	A	9.8	A	2280	A	2030	A	2120	A
USGS	01104415	2005-05-10	0.71	A	15.6	A	9.4	A	11.7	A	2430	A	2260	A	2340	A
USGS	01104415	2005-05-11	0.65	A	17.3	A	9.5	A	13.0	A	2550	A	2390	A	2470	A
USGS	01104415	2005-05-12	0.58	A	15.3	A	9.5	A	12.4	A	2680	A	2530	A	2590	A
USGS	01104415	2005-05-13	0.52	A	14.2	A	7.1	A	10.4	A	2740	A	2590	A	2680	A
