# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-06-30 10:07:12 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01104430 HOBBS BK BELOW CAMBRIDGE RES NR KENDALL GREEN, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01104430
#    DD parameter statistic   Description
#    02   00060     00003     Discharge, cubic feet per second (Mean)
#    03   00010     00001     Temperature, water, degrees Celsius (Maximum)
#    03   00010     00002     Temperature, water, degrees Celsius (Minimum)
#    03   00010     00003     Temperature, water, degrees Celsius (Mean)
#    04   00095     00001     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Maximum)
#    04   00095     00002     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Minimum)
#    04   00095     00003     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)
#    13   00020     00001     Temperature, air, degrees Celsius (Maximum)
#    13   00020     00002     Temperature, air, degrees Celsius (Minimum)
#    13   00020     00003     Temperature, air, degrees Celsius (Mean)
#    14   00045     00006     Precipitation, total, inches (Sum)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	02_00060_00003	02_00060_00003_cd	03_00010_00001	03_00010_00001_cd	03_00010_00002	03_00010_00002_cd	03_00010_00003	03_00010_00003_cd	04_00095_00001	04_00095_00001_cd	04_00095_00002	04_00095_00002_cd	04_00095_00003	04_00095_00003_cd	13_00020_00001	13_00020_00001_cd	13_00020_00002	13_00020_00002_cd	13_00020_00003	13_00020_00003_cd	14_00045_00006	14_00045_00006_cd
USGS	01104430	2005-10-19	0.09	A	16.1	A	13.4	A	14.5	A	782	A	771	A	776	A							0.00	A
USGS	01104430	2005-10-20	5.0	A	14.9	A	12.9	A	14.1	A	792	A	775	A	784	A							0.00	A
USGS	01104430	2005-10-21	7.7	A	14.6	A	14.1	A	14.3	A	789	A	785	A	787	A							0.00	A
USGS	01104430	2005-10-22	6.3	A	14.2	A	13.5	A	13.8	A	788	A	778	A	785	A							0.47	A
USGS	01104430	2005-10-23	5.1	A	13.5	A	12.8	A	13.1	A	781	A	775	A	777	A							0.74	A
USGS	01104430	2005-10-24	3.3	A	13.0	A	12.5	A	12.8	A	778	A	772	A	775	A							0.19	A
USGS	01104430	2005-10-25	2.6	A	12.6	A	11.5	A	12.1	A	774	A	743	A	757	A							2.24	A
USGS	01104430	2005-10-26	2.3	A	11.9	A	11.2	A	11.5	A	754	A	749	A	751	A							0.06	A
USGS	01104430	2005-10-27	2.2	A	11.4	A	10.9	A	11.2	A	752	A	747	A	749	A							0.00	A
USGS	01104430	2005-10-28	1.9	A	11.2	A	10.7	A	10.9	A	752	A	745	A	748	A							0.00	A
USGS	01104430	2005-10-29	2.0	A	10.8	A	10.0	A	10.4	A	747	A	736	A	742	A							0.39	A
USGS	01104430	2005-10-30	2.4	A	10.4	A	9.9	A	10.1	A	742	A	732	A	739	A							0.00	A
USGS	01104430	2005-10-31	2.5	A	10.3	A	9.8	A	10.0	A	738	A	731	A	734	A							0.00	A
USGS	01104430	2005-11-01	4.3	A	10.4	A	9.9	A	10.1	A	734	A	729	A	731	A							0.00	A
USGS	01104430	2005-11-02	7.0	A	10.9	A	10.1	A	10.5	A	734	A	728	A	731	A							0.00	A
USGS	01104430	2005-11-03	7.1	A	10.6	A	10.2	A	10.4	A	732	A	726	A	729	A							0.00	A
USGS	01104430	2005-11-04	7.0	A	11.0	A	10.3	A	10.6	A	730	A	724	A	727	A							0.00	A
USGS	01104430	2005-11-05	6.8	A	10.8	A	10.5	A	10.6	A	730	A	725	A	728	A							0.00	A
USGS	01104430	2005-11-06	6.9	A	11.0	A	10.6	A	10.8	A	727	A	721	A	726	A							0.23	A
USGS	01104430	2005-11-07	6.9	A	10.9	A	10.6	A	10.8	A	729	A	720	A	726	A							0.00	A
USGS	01104430	2005-11-08	15	A	10.9	A	10.5	A	10.7	A	723	A	719	A	721	A							0.00	A
USGS	01104430	2005-11-09	18	A	10.6	A	10.2	A	10.4	A	721	A	717	A	719	A							0.30	A
USGS	01104430	2005-11-10	18	A	10.6	A	10.0	A	10.4	A	719	A	712	A	715	A							0.26	A
USGS	01104430	2005-11-11	17	A	10.3	A	9.6	A	9.9	A	714	A	707	A	711	A							0.00	A
USGS	01104430	2005-11-12	16	A	9.9	A	9.3	A	9.5	A	710	A	705	A	707	A							0.00	A
USGS	01104430	2005-11-13	16	A	9.5	A	9.1	A	9.3	A	707	A	701	A	704	A							0.00	A
USGS	01104430	2005-11-14	16	A	9.8	A	9.3	A	9.5	A	706	A	698	A	702	A							0.00	A
USGS	01104430	2005-11-15	16	A	9.6	A	9.1	A	9.3	A	703	A	696	A	699	A							0.10	A
USGS	01104430	2005-11-16	16	A	9.8	A	9.2	A	9.4	A	700	A	693	A	698	A							0.38	A
USGS	01104430	2005-11-17	16	A	9.9	A	9.3	A	9.6	A	697	A	691	A	695	A							0.20	A
USGS	01104430	2005-11-18	16	A	9.4	A	8.8	A	9.1	A	695	A	689	A	692	A							0.00	A
USGS	01104430	2005-11-19	16	A	8.8	A	8.4	A	8.6	A	691	A	685	A	688	A							0.00	A
USGS	01104430	2005-11-20	16	A	8.5	A	8.2	A	8.3	A	688	A	683	A	686	A							0.00	A
USGS	01104430	2005-11-21	12	A	8.4	A	8.0	A	8.2	A	687	A	682	A	685	A							0.21	A
USGS	01104430	2005-11-22	8.1	A	8.4	A	7.9	A	8.2	A	686	A	664	A	673	A							1.61	A
USGS	01104430	2005-11-23	5.5	A	7.9	A	7.3	A	7.7	A	673	A	666	A	669	A							0.00	A
USGS	01104430	2005-11-24	5.6	A	7.3	A	6.9	A	7.2	A	669	A	662	A	666	A							0.15	A
USGS	01104430	2005-11-25	5.6	A	7.0	A	6.1	A	6.4	A	666	A	658	A	661	A							0.00	A
USGS	01104430	2005-11-26	5.6	A	6.2	A	5.8	A	5.9	A	660	A	655	A	657	A							0.00	A
USGS	01104430	2005-11-27	5.5	A	6.0	A	5.5	A	5.8	A	659	A	653	A	656	A							0.00	A
USGS	01104430	2005-11-28	5.3	A	6.0	A	5.6	A	5.8	A	659	A	654	A	656	A							0.00	A
USGS	01104430	2005-11-29	5.2	A	6.0	A	5.7	A	5.9	A	659	A	654	A	657	A							0.00	A
USGS	01104430	2005-11-30	5.5	A	6.7	A	5.9	A	6.2	A	661	A	654	A	658	A							1.16	A
USGS	01104430	2005-12-01	5.4	A	6.7	A	6.3	A	6.6	A	669	A	657	A	663	A							0.00	A
USGS	01104430	2005-12-02	5.4	A	6.7	A	6.2	A	6.5	A	680	A	667	A	674	A							0.00	A
USGS	01104430	2005-12-03	5.3	A	6.3	A	5.5	A	5.8	A	691	A	678	A	684	A							0.00	A
USGS	01104430	2005-12-04	5.3	A	5.7	A	5.0	A	5.4	A	698	A	688	A	694	A							0.15	A
USGS	01104430	2005-12-05	5.3	A	5.1	A	4.8	A	5.0	A	708	A	697	A	702	A							0.00	A
USGS	01104430	2005-12-06	5.3	A	4.9	A	4.2	A	4.5	A	710	A	706	A	708	A							0.00	A
USGS	01104430	2005-12-07	4.9	A	4.3	A	2.8	A	3.6	A	712	A	706	A	709	A							0.00	A
USGS	01104430	2005-12-08	4.6	A	3.5	A	2.5	A	3.0	A	712	A	705	A	710	A							0.00	A
USGS	01104430	2005-12-09	4.5	A	3.6	A	2.4	A	3.1	A	713	A	704	A	709	A							0.67	A
USGS	01104430	2005-12-10	4.5	A	3.1	A	2.7	A	2.9	A	711	A	707	A	709	A							0.37	A
USGS	01104430	2005-12-11	3.7	A	3.1	A	2.7	A	2.9	A	713	A	707	A	710	A							0.02	A
USGS	01104430	2005-12-12	3.1	A	3.1	A	2.8	A	2.9	A	713	A	708	A	710	A							0.00	A
USGS	01104430	2005-12-13	3.2	A	2.9	A	2.1	A	2.6	A	715	A	709	A	712	A							0.00	A
USGS	01104430	2005-12-14	4.5	A	3.0	A	2.1	A	2.5	A	717	A	710	A	713	A							0.00	A
USGS	01104430	2005-12-15	4.6	A	2.7	A	2.1	A	2.4	A	720	A	715	A	718	A							0.00	A
USGS	01104430	2005-12-16	4.9	A	3.0	A	2.6	A	2.8	A	719	A	713	A	716	A							0.99	A
USGS	01104430	2005-12-17	5.0	A	2.8	A	2.6	A	2.7	A	721	A	716	A	718	A							0.00	A
USGS	01104430	2005-12-18	5.0	A	3.0	A	2.7	A	2.9	A	721	A	717	A	719	A							0.00	A
USGS	01104430	2005-12-19	5.1	A	3.3	A	2.8	A	3.1	A	723	A	717	A	720	A							0.00	A
USGS	01104430	2005-12-20	9.2	A	3.3	A	3.0	A	3.1	A	724	A	718	A	721	A							0.00	A
USGS	01104430	2005-12-21	15	A	3.4	A	3.0	A	3.2	A	729	A	721	A	723	A							0.00	A
USGS	01104430	2005-12-22	12	A	3.6	A	3.3	A	3.4	A	729	A	724	A	727	A							0.00	A
USGS	01104430	2005-12-23	10	A	3.6	A	3.4	A	3.5	A	733	A	727	A	730	A							0.00	A
USGS	01104430	2005-12-24	10	A	3.7	A	3.5	A	3.6	A	736	A	730	A	733	A							0.00	A
USGS	01104430	2005-12-25	10	A	3.8	A	3.6	A	3.7	A	740	A	733	A	736	A							0.27	A
USGS	01104430	2005-12-26	11	A	3.8	A	3.6	A	3.7	A	740	A	736	A	738	A							0.77	A
USGS	01104430	2005-12-27	11	A	3.9	A	3.7	A	3.7	A	745	A	738	A	742	A							0.00	A
USGS	01104430	2005-12-28	11	A	3.9	A	3.7	A	3.8	A	748	A	741	A	745	A							0.00	A
USGS	01104430	2005-12-29	11	A	4.0	A	3.7	A	3.8	A	756	A	745	A	751	A							0.33	A
USGS	01104430	2005-12-30	11	A	4.0	A	3.8	A	3.9	A	760	A	748	A	752	A							0.01	A
USGS	01104430	2005-12-31	11	A	4.1	A	3.8	A	4.0	A	759	A	746	A	755	A							0.02	A
USGS	01104430	2006-01-01	11	A	4.0	A	3.8	A	3.9	A	752	A	742	A	747	A							0.06	A
USGS	01104430	2006-01-02	11	A	4.0	A	3.8	A	3.9	A	757	A	747	A	751	A							0.12	A
USGS	01104430	2006-01-03	11	A	4.0	A	3.6	A	3.9	A	759	A	745	A	754	A							0.33	A
USGS	01104430	2006-01-04	11	A	3.8	A	3.4	A	3.6	A	752	A	741	A	748	A							0.00	A
USGS	01104430	2006-01-05	14	A	3.7	A	3.4	A	3.6	A	752	A	744	A	748	A							0.08	A
USGS	01104430	2006-01-06	17	A	3.8	A	3.4	A	3.6	A	759	A	745	A	752	A							0.00	A
USGS	01104430	2006-01-07	17	A	3.8	A	3.4	A	3.6	A	750	A	744	A	747	A							0.00	A
USGS	01104430	2006-01-08	16	A	3.6	A	3.4	A	3.5	A	754	A	748	A	751	A							0.05	A
USGS	01104430	2006-01-09	16	A	3.8	A	3.4	A	3.6	A	758	A	748	A	753	A							0.00	A
USGS	01104430	2006-01-10	16	A	3.8	A	3.5	A	3.7	A	758	A	747	A	753	A							0.00	A
USGS	01104430	2006-01-11	16	A	3.8	A	3.5	A	3.6	A	766	A	754	A	761	A							0.08	A
USGS	01104430	2006-01-12	16	A	3.8	A	3.6	A	3.7	A	769	A	759	A	765	A							0.18	A
USGS	01104430	2006-01-13	16	A	3.8	A	3.6	A	3.7	A	771	A	764	A	767	A							0.00	A
USGS	01104430	2006-01-14	17	A	4.0	A	3.7	A	3.8	A	775	A	763	A	769	A							0.63	A
USGS	01104430	2006-01-15	17	A	3.9	A	2.8	A	3.4	A	775	A	748	A	760	A							0.36	A
USGS	01104430	2006-01-16	17	A	2.9	A	2.4	A	2.7	A	770	A	753	A	761	A							0.00	A
USGS	01104430	2006-01-17	17	A	3.0	A	2.5	A	2.8	A	769	A	759	A	764	A							0.02	A
USGS	01104430	2006-01-18	17	A	2.6	A	2.1	A	2.3	A	767	A	761	A	764	A							0.91	A
USGS	01104430	2006-01-19	20	A	2.8	A	2.5	A	2.6	A	768	A	759	A	764	A							0.37	A
USGS	01104430	2006-01-20	23	A	3.0	A	2.6	A	2.8	A	770	A	763	A	766	A							0.00	A
USGS	01104430	2006-01-21	23	A	3.2	A	2.8	A	3.0	A	775	A	762	A	768	A							0.00	A
USGS	01104430	2006-01-22	25	A	3.0	A	2.3	A	2.7	A	774	A	767	A	770	A							0.36	A
USGS	01104430	2006-01-23	26	A	3.3	A	2.9	A	3.1	A	777	A	767	A	771	A							0.79	A
USGS	01104430	2006-01-24	26	A	3.1	A	3.0	A	3.1	A	776	A:e	747	A:e	755	A:e							0.12	A
USGS	01104430	2006-01-25	26	A	3.1	A	3.0	A	3.0	A	714	A	692	A	752	A							0.31	A
USGS	01104430	2006-01-26	26	A	3.2	A	2.8	A	3.0	A	781	A	770	A	775	A							0.00	A
USGS	01104430	2006-01-27	26	A	3.0	A	2.7	A	2.9	A	782	A:e	754	A:e	764	A:e							0.00	A
USGS	01104430	2006-01-28	26	A	3.0	A	2.8	A	2.9	A	787	A:e	758	A:e	773	A:e							0.00	A
USGS	01104430	2006-01-29	26	A	3.0	A	2.8	A	2.9	A	786	A:e	761	A:e	768	A:e							0.37	A
USGS	01104430	2006-01-30	26	A	3.1	A	2.9	A	3.0	A	792	A	781	A	788	A							0.00	A
USGS	01104430	2006-01-31	26	A	3.0	A	2.4	A	2.7	A	793	A:e	771	A:e	787	A:e							0.17	A
USGS	01104430	2006-02-01	26	A	2.9	A	2.5	A	2.7	A	794	A:e	772	A:e	775	A:e							0.01	A
USGS	01104430	2006-02-02	26	A	2.9	A	2.6	A	2.8	A	799	A:e	774	A:e	782	A:e							0.00	A
USGS	01104430	2006-02-03	26	A	3.2	A	2.8	A	3.0	A	801	A	794	A	797	A							0.69	A
USGS	01104430	2006-02-04	26	A	3.5	A	3.0	A	3.3	A	808	A:e	779	A:e	801	A:e							0.51	A
USGS	01104430	2006-02-05	26	A	3.7	A	3.3	A	3.5	A	804	A:e	779	A:e	792	A:e							0.39	A
USGS	01104430	2006-02-06	26	A	3.7	A	3.5	A	3.6	A	792	A:e	777	A:e	780	A:e							0.00	A
USGS	01104430	2006-02-07	26	A	3.6	A	3.1	A	3.4	A	810	A:e	790	A:e	798	A:e							0.00	A
USGS	01104430	2006-02-08	26	A	3.6	A	2.8	A	3.3	A	809	A:e	792	A:e	794	A:e							0.00	A
USGS	01104430	2006-02-09	26	A	3.1	A	2.4	A	2.8	A	808	A	761	A	794	A							0.00	A
USGS	01104430	2006-02-10	26	A	3.3	A	2.3	A	2.9	A	771	A:e	761	A:e	764	A:e							0.00	A
USGS	01104430	2006-02-11	26	A	3.0	A	2.3	A	2.7	A	765	A:e	763	A:e	764	A:e							0.00	A
USGS	01104430	2006-02-12	26	A	2.5	A	1.7	A	2.2	A	768	A:e	765	A:e	767	A:e							0.40	A
USGS	01104430	2006-02-13	26	A	2.0	A	1.5	A	1.8	A	767	A:e	767	A:e	767	A:e							0.20	A
USGS	01104430	2006-02-14	26	A	2.2	A	1.8	A	2.0	A	768	A:e	766	A:e	767	A:e							0.02	A
USGS	01104430	2006-02-15	26	A	2.6	A	2.1	A	2.3	A	770	A:e	768	A:e	769	A:e							0.00	A
USGS	01104430	2006-02-16	26	A	2.7	A	2.4	A	2.6	A	773	A:e	769	A:e	771	A:e							0.00	A
USGS	01104430	2006-02-17	25	A	3.0	A	2.5	A	2.8	A	773	A:e	764	A:e	768	A:e							0.13	A
USGS	01104430	2006-02-18	26	A	3.0	A	1.9	A	2.6	A	775	A:e	771	A:e	772	A:e							0.00	A
USGS	01104430	2006-02-19	25	A	2.4	A	1.7	A	2.1	A	775	A	770	A	773	A							0.00	A
USGS	01104430	2006-02-20	25	A	2.5	A	2.2	A	2.3	A	776	A	771	A	774	A							0.00	A
USGS	01104430	2006-02-21	25	A	2.5	A	2.3	A	2.4	A	778	A	774	A	776	A							0.00	A
USGS	01104430	2006-02-22	25	A	2.8	A	2.4	A	2.6	A	779	A	776	A	777	A							0.00	A
USGS	01104430	2006-02-23	25	A	2.9	A	2.6	A	2.8	A	779	A	776	A	778	A							0.03	A
USGS	01104430	2006-02-24	25	A	3.0	A	2.7	A	2.9	A	780	A	776	A	778	A							0.00	A
USGS	01104430	2006-02-25	25	A	3.1	A	2.9	A	3.0	A	783	A	777	A	780	A							0.05	A
USGS	01104430	2006-02-26	25	A	3.1	A	2.9	A	3.0	A	782	A	777	A	780	A							0.00	A
USGS	01104430	2006-02-27	25	A	3.0	A	2.6	A	2.9	A	785	A	779	A	782	A							0.00	A
USGS	01104430	2006-02-28	25	A	2.8	A	2.5	A	2.7	A	785	A	782	A	783	A							0.00	A
USGS	01104430	2006-03-01	25	A	2.7	A	2.4	A	2.5	A	787	A	782	A	785	A							0.00	A
USGS	01104430	2006-03-02	25	A	2.6	A	2.4	A	2.5	A	788	A	784	A	786	A							0.00	A
USGS	01104430	2006-03-03	25	A	2.8	A	2.1	A	2.5	A	791	A	785	A	788	A							0.00	A
USGS	01104430	2006-03-04	20	A	2.8	A	2.3	A	2.5	A	792	A	787	A	790	A							0.00	A
USGS	01104430	2006-03-05	16	A	2.6	A	2.3	A	2.5	A	793	A	789	A	791	A							0.00	A
USGS	01104430	2006-03-06	16	A	2.8	A	2.4	A	2.6	A	793	A	790	A	792	A							0.00	A
USGS	01104430	2006-03-07	16	A	3.1	A	2.7	A	2.9	A	793	A	790	A	791	A							0.00	A
USGS	01104430	2006-03-08	12	A	3.5	A	3.0	A	3.2	A	793	A	790	A	792	A							0.00	A
USGS	01104430	2006-03-09	8.4	A	3.5	A	3.3	A	3.4	A	793	A	789	A	791	A							0.00	A
USGS	01104430	2006-03-10	8.4	A	3.6	A	3.3	A	3.5	A	792	A	788	A	791	A							0.00	A
USGS	01104430	2006-03-11	8.3	A	4.0	A	3.4	A	3.7	A	792	A	785	A	789	A							0.00	A
USGS	01104430	2006-03-12	5.1	A	3.9	A	3.6	A	3.8	A	790	A	785	A	788	A							0.00	A
USGS	01104430	2006-03-13	3.0	A	4.3	A	3.7	A	3.9	A	789	A	778	A	787	A							0.36	A
USGS	01104430	2006-03-14	2.9	A	5.3	A	4.1	A	4.4	A	786	A	769	A	780	A							0.26	A
USGS	01104430	2006-03-15	2.4	A	4.6	A	3.9	A	4.3	A	788	A	782	A	785	A							0.00	A
USGS	01104430	2006-03-16	1.7	A	5.0	A	3.8	A	4.3	A	786	A	782	A	784	A							0.00	A
USGS	01104430	2006-03-17	1.5	A	5.2	A	3.7	A	4.3	A	786	A	782	A	784	A							0.00	A
USGS	01104430	2006-03-18	1.3	A	5.0	A	3.5	A	4.1	A	786	A	782	A	784	A							0.00	A
USGS	01104430	2006-03-19	1.2	A	4.6	A	3.7	A	4.2	A	786	A	783	A	784	A							0.00	A
USGS	01104430	2006-03-20	1.2	A	4.5	A	3.1	A	3.8	A	792	A	782	A	786	A							0.00	A
USGS	01104430	2006-03-21	0.88	A	4.7	A	3.0	A	3.8	A	794	A	779	A	786	A							0.00	A
USGS	01104430	2006-03-22	0.87	A	4.2	A	3.6	A	3.9	A	792	A	784	A	787	A							0.00	A
USGS	01104430	2006-03-23	0.75	A	4.8	A	3.4	A	4.2	A	791	A	784	A	789	A							0.00	A
USGS	01104430	2006-03-24	0.66	A	5.1	A	4.4	A	4.8	A	796	A	787	A	790	A							0.00	A
USGS	01104430	2006-03-25	0.66	A	5.0	A	4.6	A	4.8	A	800	A	788	A	792	A							0.00	A
USGS	01104430	2006-03-26	0.67	A	5.2	A	4.5	A	4.8	A	798	A	788	A	792	A							0.00	A
USGS	01104430	2006-03-27	0.71	A	6.1	A	4.2	A	5.0	A	796	A	787	A	792	A							0.00	A
USGS	01104430	2006-03-28	0.67	A	5.8	A	4.8	A	5.1	A	795	A	791	A	793	A							0.00	A
USGS	01104430	2006-03-29	0.65	A	6.5	A	4.7	A	5.3	A	796	A	791	A	794	A							0.00	A
USGS	01104430	2006-03-30	0.69	A	7.4	A	5.0	A	6.3	A	797	A	792	A	794	A							0.00	A
USGS	01104430	2006-03-31	0.69	A	6.5	A	5.4	A	5.9	A	795	A	790	A	793	A							0.00	A
USGS	01104430	2006-04-01	0.81	A	6.7	A	5.6	A	6.2	A	795	A	789	A	793	A							0.22	A
USGS	01104430	2006-04-02	0.81	A	8.6	A	6.4	A	7.3	A	798	A	791	A	794	A							0.00	A
USGS	01104430	2006-04-03	0.80	A	8.7	A	6.8	A	7.7	A	796	A	790	A	793	A							0.08	A
USGS	01104430	2006-04-04	0.91	A	9.4	A	8.0	A	8.9	A	792	A	781	A	787	A							0.73	A
USGS	01104430	2006-04-05	0.96	A	8.6	A	8.0	A	8.3	A	789	A	783	A	786	A							0.39	A
USGS	01104430	2006-04-06	1.1	A	8.6	A	7.6	A	8.0	A	791	A	785	A	787	A							0.00	A
USGS	01104430	2006-04-07	1.1	A	8.4	A	7.6	A	7.9	A	792	A	787	A	789	A							0.12	A
USGS	01104430	2006-04-08	1.1	A	8.5	A	8.1	A	8.3	A	791	A	782	A	788	A							0.07	A
USGS	01104430	2006-04-09	1.1	A	9.1	A	7.6	A	8.3	A	791	A	784	A	788	A							0.00	A
USGS	01104430	2006-04-10	1.0	A	9.8	A	8.2	A	8.8	A	788	A	781	A	785	A							0.00	A
USGS	01104430	2006-04-11	1.1	A	9.9	A	8.2	A	9.1	A	788	A	783	A	785	A							0.00	A
USGS	01104430	2006-04-12	1.1	A	9.5	A	8.7	A	9.1	A	786	A	780	A	783	A							0.00	A
USGS	01104430	2006-04-13	1.1	A	9.7	A	8.8	A	9.2	A	786	A	776	A	782	A							0.03	A
USGS	01104430	2006-04-14	1.1	A	10.7	A	9.3	A	10	A	782	A	773	A	779	A							0.03	A
USGS	01104430	2006-04-15	1.2	A	10.8	A	9.9	A	10.3	A	782	A	778	A	780	A							0.01	A
USGS	01104430	2006-04-16	1.1	A	11.5	A	10.4	A	11.0	A	785	A	778	A	783	A							0.00	A
USGS	01104430	2006-04-17	0.99	A	11.8	A	10.9	A	11.4	A	787	A	782	A	784	A							0.01	A
USGS	01104430	2006-04-18	0.95	A	13.6	A	11.1	A	11.9	A	794	A	782	A	787	A							0.01	A
USGS	01104430	2006-04-19	0.95	A	13.7	A	11.5	A	12.2	A	793	A	785	A	788	A							0.00	A
USGS	01104430	2006-04-20	0.96	A	13.2	A	11.7	A	12.4	A	792	A	785	A	788	A							0.00	A
USGS	01104430	2006-04-21	0.99	A	13.9	A	12.1	A	12.7	A	795	A	786	A	790	A							0.00	A
USGS	01104430	2006-04-22	1.1	A	13.5	A	12.2	A	12.7	A	793	A	788	A	790	A							0.05	A
USGS	01104430	2006-04-23	1.2	A	13.1	A	12.4	A	12.8	A	794	A	783	A	790	A							0.91	A
USGS	01104430	2006-04-24	1.4	A	12.6	A	12.2	A	12.4	A	790	A	783	A	788	A							0.15	A
USGS	01104430	2006-04-25	1.4	A	12.8	A	12.1	A	12.3	A	791	A	785	A	788	A							0.05	A
